gene	distance	index	recurrence	ecdna	prop	logdistance
CDH17	25378390	all	NA	NA	NA	7.40446408419003
CDK12	5135587	all	41	46	0.891304347826087	6.71059017539888
CDK4	121261	all	3	NA	NA	5.08372472686943
CDK6	7231223	all	1	NA	NA	6.85921181478477
CDKN1A	2497714	all	1	NA	NA	6.39754288200103
CDKN1B	5914127	all	NA	NA	NA	6.77189071976604
CDKN2A	73851340	all	NA	NA	NA	7.86835838568199
CDKN2C	4684214	all	NA	NA	NA	6.67063682046751
CDX2	4350067	all	2	NA	NA	6.63849604587279
CEBPA	1076103	all	1	NA	NA	6.03185424572023
CEP89	1406664	all	NA	NA	NA	6.14819068167478
CHCHD7	10292044	all	1	NA	NA	7.01250167641209
CHD2	1914866	all	4	NA	NA	6.28213861476835
CHD4	227064	all	NA	NA	NA	5.35615019684281
CHEK2	709356	all	1	NA	NA	5.85086485875007
CHIC2	53129350	all	NA	NA	NA	7.72533451083087
CHST11	4379158	all	NA	NA	NA	6.64139071399071
CIC	3975974	all	NA	NA	NA	6.59944364499183
CIITA	16891316	all	NA	NA	NA	7.22766351242088
CLIP1	2603878	all	NA	NA	NA	6.41562079907693
CLP1	4462852	all	NA	NA	NA	6.64961258203653
CLTC	14684360	all	28	27	1.03703703703704	7.16685505264895
CLTCL1	206245	all	NA	NA	NA	5.31438553445943
CNBD1	18117672	all	3	NA	NA	7.25810241695246
CNBP	1566715	all	NA	NA	NA	6.19499027865677
CNOT3	6794168	all	2	NA	NA	6.83213634542694
CNTNAP2	3432812	all	NA	NA	NA	6.53565014619298
CNTRL	14331504	all	NA	NA	NA	7.15629179953028
COL1A1	5248769	all	21	NA	NA	6.72005754249202
COL2A1	1124749	all	NA	NA	NA	6.0510560018376
COL3A1	150861892	all	NA	NA	NA	8.178579552898
COX6C	23261374	all	5	NA	NA	7.36663538267373
CPEB3	9843716	all	NA	NA	NA	6.99315911954671
CREB1	169417409	all	NA	NA	NA	8.22895803809867
CREB3L1	461072	all	NA	NA	NA	5.66376969108877
CREB3L2	13864052	all	NA	NA	NA	7.14189020994559
CREBBP	23980034	all	NA	NA	NA	7.37984981263672
CRNKL1	17517031	all	2	NA	NA	7.24346052333801
CRTC1	814710	all	4	NA	NA	5.91100358007283
CRTC3	337702	all	NA	NA	NA	5.52853491872738
CSF1R	23256686	all	NA	NA	NA	7.36654784796353
CSF3R	8280312	all	1	NA	NA	6.91804675364522
CSMD3	9718374	all	NA	NA	NA	6.98759365304028
CTCF	11210551	all	NA	NA	NA	7.04962699748809
CTNNA1	11912938	all	NA	NA	NA	7.07601891799179
CTNNA2	40762853	all	NA	NA	NA	7.61026458340749
CTNNB1	86034360	all	NA	NA	NA	7.93467193743324
CTNND1	4305537	all	NA	NA	NA	6.63402742659867
CTNND2	56558221	all	NA	NA	NA	7.75249574824772
CUL3	186357662	all	NA	NA	NA	8.27034725558297
CUX1	1761344	all	NA	NA	NA	6.24584443088
CXCR4	97894713	all	NA	NA	NA	7.9907592419297
CYLD	5543330	all	NA	NA	NA	6.74377081169396
CYP2C8	7065337	all	NA	NA	NA	6.8491329429749
CYSLTR2	16386096	all	1	NA	NA	7.2144755214034
DAXX	78496	all	NA	NA	NA	4.89485305918675
DCC	3347644	all	NA	NA	NA	6.52473939713619
DCTN1	35611074	all	NA	NA	NA	7.55158508402307
DDB2	430932	all	1	NA	NA	5.63440975277749
DDIT3	103771	all	NA	NA	NA	5.01608018698163
DDR2	6098391	all	NA	NA	NA	6.78521533704563
DDX10	32016776	all	NA	NA	NA	7.50537761110716
DDX5	13705105	all	21	27	0.777777777777778	7.13688239887129
DDX6	42099433	all	NA	NA	NA	7.624276257063
DEK	13463757	all	NA	NA	NA	7.12916629695104
DGCR8	560861	all	NA	NA	NA	5.74885601631658
DICER1	2050750	all	NA	NA	NA	6.31191293199645
DNAJB1	949613	all	2	NA	NA	5.97754710872447
DNM2	310192	all	NA	NA	NA	5.49163199304021
DNMT3A	13411105	all	NA	NA	NA	7.12746459514394
DROSHA	36930049	all	NA	NA	NA	7.56737989564744
EBF1	31946755	all	NA	NA	NA	7.50442676475335
ECT2L	3611961	all	NA	NA	NA	6.55774317262787
EED	9436775	all	NA	NA	NA	6.97482364635738
EGFR	18604611	all	4	NA	NA	7.26962061722151
EIF3E	14906657	all	3	NA	NA	7.17338028766184
EIF4A2	36018206	all	NA	NA	NA	7.55652208967764
ELF3	1396868	all	3	NA	NA	6.14515567938206
ELK4	1444411	all	NA	NA	NA	6.15969108783575
ELL	573760	all	3	NA	NA	5.75873102480851
ELN	26212930	all	NA	NA	NA	7.41851558431776
EML4	3419283	all	NA	NA	NA	6.53393517406671
EP300	742010	all	NA	NA	NA	5.8704103435592
EPAS1	7547334	all	NA	NA	NA	6.87779362724362
EPHA3	37785017	all	1	NA	NA	7.57731963344274
EPHA7	13234551	all	2	NA	NA	7.12170924467621
EPS15	5069782	all	NA	NA	NA	6.70498937078907
ERBB2	4941472	all	43	46	0.934782608695652	6.69385642674069
ERBB3	1520944	all	1	NA	NA	6.18211350949785
ERBB4	173263235	all	NA	NA	NA	8.23870642136288
ERC1	5338516	all	1	NA	NA	6.72742063003123
ERCC2	1970089	all	1	NA	NA	6.29448606657304
ERCC3	89037659	all	NA	NA	NA	7.94957373777722
ERCC4	13863950	all	NA	NA	NA	7.1418870147616
ERCC5	70603319	all	NA	NA	NA	7.84882512348493
ERG	1357713	all	NA	NA	NA	6.13280829623092
ESR1	16506344	all	1	NA	NA	7.21765091808039
ETNK1	15821901	all	NA	NA	NA	7.19925869018902
ETV1	22448261	all	NA	NA	NA	7.35118272248731
ETV4	1202624	all	NA	NA	NA	6.08013022765616
ETV5	35280953	all	NA	NA	NA	7.54754031997832
ETV6	4846613	all	1	NA	NA	6.68543843248417
EWSR1	150664	all	1	NA	NA	5.17801237592265
EXT1	5043558	all	7	21	0.333333333333333	6.70273710560931
EXT2	2537063	all	NA	NA	NA	6.40433142287654
EZH2	2969484	all	1	NA	NA	6.4726811358317
EZR	23681487	all	NA	NA	NA	7.37440898731972
FADD	4968098	all	35	18	1.94444444444444	6.69619024150132
FAM131B	8491058	all	NA	NA	NA	6.92896185858021
FAM135B	9988330	all	2	21	0.0952380952380952	6.99949292585909
FANCA	1924586	all	NA	NA	NA	6.28433754794083
FANCC	2012442	all	NA	NA	NA	6.30372358835119
FANCD2	117172685	all	1	NA	NA	8.06882638555598
FANCE	2046261	all	NA	NA	NA	6.31096123928304
FANCF	20785957	all	1	NA	NA	7.31777004541793
FANCG	60765817	all	NA	NA	NA	7.78365934854051
FAS	13119050	all	1	NA	NA	7.11790242037731
FAT1	9215846	all	2	NA	NA	6.9645352560523
FAT3	15566222	all	4	18	0.222222222222222	7.19218324781234
FAT4	51876417	all	NA	NA	NA	7.7149699809714
FBLN2	113636378	all	NA	NA	NA	8.05551738656644
FBXO11	9056854	all	NA	NA	NA	6.95697741475568
FBXW7	24834331	all	1	NA	NA	7.39505248272804
FCGR2B	5129068	all	NA	NA	NA	6.71003854155312
FCRL4	1039703	all	NA	NA	NA	6.01690971481423
FEN1	327481	all	NA	NA	NA	5.51518743405144
FES	87274	all	NA	NA	NA	4.94088985748622
FEV	180868602	all	NA	NA	NA	8.25736318417724
FGF3	4543566	all	NA	18	NA	6.65739693659581
FGFR1	810910	all	30	15	2	5.90897319165886
FGFR1OP	31907529	all	NA	NA	NA	7.50389318624024
FGFR2	5212322	all	3	NA	NA	6.71703132046556
FGFR3	48431	all	NA	NA	NA	4.6851324036125
FGFR4	50337752	all	2	NA	NA	7.70189382540621
FH	34571984	all	NA	NA	NA	7.53872431589756
FHIT	66079166	all	1	NA	NA	7.82006455959102
FIP1L1	52497212	all	NA	NA	NA	7.72013624796121
FKBP9	3432769	all	NA	NA	NA	6.5356447061123
FLCN	9003332	all	1	NA	NA	6.95440331338876
FLI1	52043349	all	NA	NA	NA	7.71636524407111
FLT3	4218655	all	2	NA	NA	6.62517411334284
FLT4	53852338	all	1	NA	NA	7.73120457100879
FNBP1	5465917	all	NA	NA	NA	6.737663112096
FOXA1	16814609	all	5	NA	NA	7.22568679869126
FOXL2	11343123	all	NA	NA	NA	7.05473267969935
FOXO1	8234948	all	NA	NA	NA	6.9156609138777
FOXO3	26496784	all	5	NA	NA	7.4231931818061
FOXP1	55683159	all	NA	NA	NA	7.74572387336295
FOXR1	42323377	all	NA	NA	NA	7.62658032320985
FSTL3	4271935	all	NA	NA	NA	6.63062473768739
FUBP1	31663440	all	NA	NA	NA	7.50055810970851
FUS	3279068	all	NA	NA	NA	6.51575055543239
GAS7	1701729	all	NA	NA	NA	6.23089065515401
GATA2	878321	all	1	NA	NA	5.94365376099298
GATA3	36750895	all	1	NA	NA	7.56526793180422
GLI1	152026	all	1	NA	NA	5.18192072550849
GMPS	5105170	all	NA	NA	NA	6.70801029355567
GNA11	1833875	all	1	NA	NA	6.26336996691941
GNAQ	15199638	all	NA	NA	NA	7.18183327332834
GNAS	15063927	all	7	NA	NA	7.1779382312467
GOLGA5	192767	all	NA	NA	NA	5.28503494151255
GOLPH3	36287906	all	NA	NA	NA	7.55976191985214
GOPC	17579050	all	NA	NA	NA	7.24499542610818
GPC5	59156080	all	NA	NA	NA	7.77199939493184
GPHN	11319688	all	NA	NA	NA	7.05383449509967
GRIN2A	17633544	all	NA	NA	NA	7.24633963045996
GRM3	13202973	all	NA	NA	NA	7.12067176804761
H3F3A	19161548	all	NA	NA	NA	7.28243061408285
H3F3B	2431729	all	NA	NA	NA	6.38591535266498
HERPUD1	579989	all	NA	NA	NA	5.76342050566249
HEY1	10915242	all	NA	NA	NA	7.03803340860992
HIF1A	6507682	all	NA	NA	NA	6.8134263895777
HIP1	24328885	all	1	NA	NA	7.38612222339324
HIST1H3B	5696268	all	NA	NA	NA	6.75559049018939
HIST1H4I	4621099	all	NA	NA	NA	6.66474536669622
HLA-A	1814896	all	1	NA	NA	6.25885198276004
HLF	10329631	all	NA	NA	NA	7.01408484976588
HMGA1	830700	all	NA	NA	NA	5.91944473327037
HMGA2	8197496	all	NA	NA	NA	6.91368126640469
HMGN2P46	12866738	all	NA	NA	NA	7.1094684914453
HNF1A	1264446	all	NA	NA	NA	6.10190063036691
HNRNPA2B1	10238898	all	NA	NA	NA	7.01025325899019
HOOK3	5294286	all	21	15	1.4	6.72380748043678
HOXA11	9254476	all	NA	NA	NA	6.96635188041664
HOXA13	9239586	all	NA	NA	NA	6.96565255913898
HOXA9	9274162	all	NA	NA	NA	6.96727472466076
HOXC11	678777	all	NA	NA	NA	5.83172775787452
HOXC13	644443	all	1	NA	NA	5.80918518461007
HOXD11	137994877	all	NA	NA	NA	8.13986296685328
HOXD13	137980325	all	NA	NA	NA	8.13981716670011
HRAS	1314755	all	NA	NA	NA	6.11884516142955
HSP90AA1	9045261	all	NA	NA	NA	6.95642115090908
HSP90AB1	5028598	all	2	NA	NA	6.70144700467425
ID3	2244091	all	1	NA	NA	6.35104065751876
IDH1	170123747	all	NA	NA	NA	8.23076494209858
IDH2	441430	all	4	NA	NA	5.6448628287264
IGF2BP2	34878373	all	NA	NA	NA	7.54255623029471
IKBKB	4671073	all	25	15	1.66666666666667	6.66941674751409
IKZF1	13862264	all	NA	NA	NA	7.1418341968439
IKZF3	4805945	all	45	46	0.978260869565217	6.68177888672719
IL2	54912853	all	NA	NA	NA	7.73967401599568
IL21R	446793	all	NA	NA	NA	5.65010733233885
IL6ST	13171510	all	1	NA	NA	7.11963559890414
IL7R	32585410	all	NA	NA	NA	7.51302320312528
IRF4	31317114	all	2	NA	NA	7.49578174708673
ISX	5608884	all	NA	NA	NA	6.74887653568122
ITGAV	148477583	all	NA	NA	NA	8.17166089217217
ITK	30431738	all	NA	NA	NA	7.48332677051541
JAK1	18548753	all	1	NA	NA	7.26831474149289
JAK2	90717648	all	3	NA	NA	7.95769178670363
JAK3	18287	all	2	NA	NA	4.26216621305121
JAZF1	8258874	all	NA	NA	NA	6.91692089301443
JUN	12496311	all	NA	NA	NA	7.09678185985803
KAT6A	4329251	all	24	15	1.6	6.63641286625301
KAT6B	14046849	all	4	NA	NA	7.14757894481076
KAT7	4853381	all	20	NA	NA	6.68604447511151
KCNJ5	52242273	all	NA	NA	NA	7.71802207263451
KDM5A	6444995	all	1	NA	NA	6.80922265215048
KDR	54197819	all	1	NA	NA	7.73398181825405
KDSR	108026	all	NA	NA	NA	5.03353231553798
KEAP1	638724	all	1	NA	NA	5.80531391498304
KIAA1549	12884834	all	NA	NA	NA	7.11007886145516
KIF5B	12522686	all	NA	NA	NA	7.09769752568491
KIT	53777487	all	1	NA	NA	7.73060051203348
KLF4	14398239	all	NA	NA	NA	7.1583094084145
KLF6	41040584	all	NA	NA	NA	7.61321354266081
KLK2	3529421	all	NA	NA	NA	6.54770358845754
KRAS	18402005	all	2	NA	NA	7.26486516796848
KTN1	392488	all	NA	NA	NA	5.59382748960039
LARP4B	43936355	all	NA	NA	NA	7.64282403449806
LASP1	5748364	all	NA	NA	NA	6.75954433643734
LATS1	14476764	all	2	NA	NA	7.16067152459507
LATS2	11257662	all	1	NA	NA	7.05144824384177
LCK	11076521	all	1	NA	NA	7.04440341442435
LCP1	13805204	all	NA	NA	NA	7.14004286006675
LEF1	69200391	all	NA	NA	NA	7.84010855461506
LEPROTL1	7340942	all	NA	NA	NA	6.8657518519312
LIFR	29866824	all	NA	NA	NA	7.47518905727876
LMNA	390188	all	NA	NA	NA	5.59127502183287
LMO1	6387735	all	NA	NA	NA	6.80534695879511
LMO2	12890206	all	NA	NA	NA	7.11025989161531
LPP	37388508	all	NA	NA	NA	7.57273814645982
LRIG3	1245194	all	1	NA	NA	6.09523736813257
LRP1B	102011789	all	NA	NA	NA	8.00865036819368
LSM14A	149114	all	NA	NA	NA	5.17352133285315
LYL1	1953951	all	NA	NA	NA	6.29091389080999
LYN	10499282	all	NA	NA	NA	7.02115964194844
LZTR1	1829664	all	NA	NA	NA	6.2623715804574
MACC1	16222298	all	NA	NA	NA	7.21011240180249
MAF	5684333	all	NA	NA	NA	6.75467958827291
MAFB	1685613	all	NA	NA	NA	6.22675812968209
MALAT1	184062	all	NA	NA	NA	5.26496649621291
MALT1	4466083	all	NA	NA	NA	6.64992688720685
MAML2	19192400	all	1	NA	NA	7.2831293090671
MAP2K1	1561696	all	NA	NA	NA	6.19359677602474
MAP2K2	831201	all	NA	NA	NA	5.91970657952977
MAP2K4	3811938	all	2	NA	NA	6.58114594228755
MAP3K1	12270355	all	1	NA	NA	7.08885716310131
MAP3K13	34597815	all	NA	NA	NA	7.53904868465737
MAPK1	2607055	all	NA	NA	NA	6.41615035998681
MAX	9818455	all	NA	NA	NA	6.99204319823492
MB21D2	42031452	all	NA	NA	NA	7.62357440354279
MDM2	11181227	all	8	NA	NA	7.04848950340162
MDM4	2519164	all	4	NA	NA	6.40125661380328
MDS2	2313505	all	NA	NA	NA	6.36427063016551
MECOM	18318132	all	NA	NA	NA	7.26288120791718
MEN1	490675	all	3	18	0.166666666666667	5.69079481623959
MET	16614511	all	NA	NA	NA	7.22048758974235
MGMT	1339228	all	NA	NA	NA	6.12685484507243
MITF	57298811	all	NA	NA	NA	7.75814561765337
MLF1	7805798	all	NA	NA	NA	6.8924173639687
MLH1	90223964	all	NA	NA	NA	7.95532190877126
MLLT1	1248727	all	1	NA	NA	6.09646784993252
MLLT10	22835502	all	NA	NA	NA	7.35861058229811
MLLT11	5459094	all	NA	NA	NA	6.73712065203023
MLLT3	75223316	all	NA	NA	NA	7.87635247988451
MLLT6	5940331	all	NA	NA	NA	6.77381071800118
MN1	1649692	all	NA	NA	NA	6.21740313160114
MNX1	5238769	all	NA	NA	NA	6.71922933184678
MPL	1409093	all	NA	NA	NA	6.14893996565698
MSH2	8653056	all	NA	NA	NA	6.93716956453832
MSH6	9033014	all	NA	NA	NA	6.95583273141163
MSI2	12321241	all	23	NA	NA	7.09065448758163
MTOR	6522315	all	NA	NA	NA	6.8144018361338
MUC1	1337366	all	NA	NA	NA	6.12625060262736
MUC16	2160760	all	NA	NA	NA	6.33460673258367
MUC4	44990485	all	NA	NA	NA	7.65312068456317
MUTYH	562924	all	NA	NA	NA	5.75045053649277
MYB	0	all	NA	NA	NA	0
MYC	399522	all	12	21	0.571428571428571	5.60154178611699
MYCN	4292751	all	1	NA	NA	6.63273579923122
MYD88	89131789	all	NA	NA	NA	7.95003262838259
MYH11	11959268	all	NA	NA	NA	7.07770463458813
MYH9	5534027	all	NA	NA	NA	6.74304135216936
MYO5A	12282291	all	1	NA	NA	7.08927941811383
MYOD1	15882988	all	NA	NA	NA	7.2009322351222
N4BP2	38311916	all	NA	NA	NA	7.58333388316795
NAB2	528813	all	NA	NA	NA	5.72330294428822
NACA	898745	all	NA	NA	NA	5.95363697050438
NARS2	1627977	all	25	18	1.38888888888889	6.21164853166918
NBEA	2621569	all	1	NA	NA	6.4185614585433
NBN	21184560	all	3	NA	NA	7.32601946870269
NCKIPSD	78592965	all	NA	NA	NA	7.89538367881188
NCOA1	13019414	all	NA	NA	NA	7.11459147056246
NCOA2	1263263	all	NA	NA	NA	6.10149411996315
NCOA4	6693108	all	NA	NA	NA	6.82562789772322
NCOR1	7821213	all	3	NA	NA	6.89327416899087
NCOR2	4656859	all	NA	NA	NA	6.66809318185771
NDRG1	5095476	all	6	21	0.285714285714286	6.70718484560864
NF1	2506247	all	8	NA	NA	6.39902404339496
NF2	146299	all	2	NA	NA	5.16524432612531
NFATC2	7656898	all	8	NA	NA	6.88405291847542
NFE2L2	139117827	all	NA	NA	NA	8.14338278855347
NFIB	81446848	all	NA	NA	NA	7.9108742870683
NFKB2	257522	all	NA	NA	NA	5.41081602299667
NFKBIE	5039652	all	2	NA	NA	6.70240063458575
NIN	3581259	all	2	NA	NA	6.55403585199942
NKX2-1	17889668	all	5	NA	NA	7.25260230519547
NOTCH1	1109942	all	1	NA	NA	6.0453006766055
NOTCH2	8396623	all	2	NA	NA	6.9241047059569
NPM1	44638539	all	NA	NA	NA	7.64970998162144
NR4A3	6735241	all	NA	NA	NA	6.82835320471772
NRAS	3189524	all	NA	NA	NA	6.50372601056847
NRG1	4827004	all	3	15	0.2	6.68367774867808
NSD1	50383911	all	2	NA	NA	7.70229188475905
NT5C2	370634	all	NA	NA	NA	5.56894642844522
NTHL1	25812288	all	NA	NA	NA	7.41182651891776
NTRK1	281705	all	NA	NA	NA	5.44979609703597
NTRK2	8207325	all	NA	NA	NA	6.91420168420785
NTRK3	378164	all	3	NA	NA	5.57768133146234
NUMA1	4683397	all	17	18	0.944444444444444	6.67056106614406
NUP214	4162300	all	NA	NA	NA	6.61933348335093
NUP98	1838119	all	NA	NA	NA	6.26437386049767
OLIG2	6989917	all	NA	NA	NA	6.84447208098797
OMD	658994	all	NA	NA	NA	5.81888211947922
PABPC1	22433301	all	5	NA	NA	7.3508932029113
PAFAH1B2	40495960	all	NA	NA	NA	7.60741170956317
PAK1	514021	all	27	18	1.5	5.71098170707725
PALB2	4257477	all	NA	NA	NA	6.6291524124765
PATZ1	1868545	all	NA	NA	NA	6.27150379381009
PAX3	184087399	all	NA	NA	NA	8.2650240639101
PAX5	58811354	all	NA	NA	NA	7.7694611855616
PAX7	1108072	all	NA	NA	NA	6.04456837271447
PAX8	74996368	all	NA	NA	NA	7.87504023723921
PBRM1	74596433	all	NA	NA	NA	7.87271806700164
PBX1	8024965	all	NA	NA	NA	6.90444320107147
PCBP1	31337378	all	NA	NA	NA	7.4960626700701
PCM1	4650699	all	NA	NA	NA	6.66751832563349
PDCD1LG2	90274549	all	3	NA	NA	7.9555653322359
PDE4DIP	11423987	all	1	NA	NA	7.05781773824018
PDGFB	2677133	all	NA	NA	NA	6.42767010970173
PDGFRA	53348656	all	1	NA	NA	7.72712349096141
PDGFRB	23317234	all	NA	NA	NA	7.36767704971315
PER1	52310	all	NA	NA	NA	4.71859302227043
PHOX2B	39999492	all	NA	NA	NA	7.60205448661052
PICALM	9149446	all	NA	NA	NA	6.96139484574883
PIK3CA	28383156	all	NA	NA	NA	7.45306069948742
PIK3CB	11054289	all	NA	NA	NA	7.04353085374564
PIK3R1	864684	all	1	NA	NA	5.93685792517924
PIM1	2009620	all	1	NA	NA	6.30311416034157
PLAG1	10299359	all	1	NA	NA	7.01281023857856
PLCG1	1199132	all	1	NA	NA	6.07886735487761
PML	250633	all	NA	NA	NA	5.39903998529656
PMS1	151671604	all	NA	NA	NA	8.18090428252647
PMS2	30430574	all	NA	NA	NA	7.48331015863381
POLD1	3040325	all	1	NA	NA	6.48292015348058
POLE	13048245	all	NA	NA	NA	7.11555213591047
POLG	251309	all	NA	NA	NA	5.40020977016206
POLQ	6051446	all	NA	NA	NA	6.78185923398736
POLR2A	690134	all	NA	NA	NA	5.8389340530855
POT1	24764493	all	NA	NA	NA	7.39382945869631
POU2AF1	34703943	all	NA	NA	NA	7.54037883387163
POU5F1	590105	all	NA	NA	NA	5.77093003042216
PPARG	114840445	all	2	NA	NA	8.06009487047514
PPFIBP1	20720870	all	NA	NA	NA	7.31640800698745
PPM1D	15664864	all	28	27	1.03703703703704	7.19492665647864
PPP2R1A	4845787	all	1	NA	NA	6.68536441012255
PPP6C	10319172	all	2	NA	NA	7.01364489342219
PRCC	233437	all	NA	NA	NA	5.36817155371025
PRDM1	25819004	all	7	NA	NA	7.4119395016277
PRDM16	14489740	all	NA	NA	NA	7.16106062265019
PRDM2	3693351	all	NA	NA	NA	6.56742070065736
PREX2	615069	all	NA	NA	NA	5.78892454485468
PRF1	9817575	all	1	NA	NA	6.9920042719239
PRKACA	1350255	all	NA	NA	NA	6.13041611578926
PRKAR1A	9678681	all	16	NA	NA	6.98581622103785
PRKCB	3678225	all	NA	NA	NA	6.56563840993129
PRKD1	24482199	all	NA	NA	NA	7.38885044145269
