Chromosome	Proportion	CN	Segment_location	Segment_length	Subgroup	Stage
chr18	-0.164179104477612	<2	4850000.5	599999	ER+ High	DCIS
chr16	-0.0298507462686567	<2	5075000.5	149999	ER+ High	DCIS
chr3	-0.26865671641791	<2	5125000.5	49999	ER+ High	DCIS
chr3	-0.26865671641791	<2	5175000.5	49999	ER+ High	DCIS
chr6	-0.0597014925373134	<2	4775000.5	949999	ER+ High	DCIS
chr3	-0.253731343283582	<2	5225000.5	49999	ER+ High	DCIS
chr6	-0.0597014925373134	<2	5275000.5	49999	ER+ High	DCIS
chr7	-0.0746268656716418	<2	5000000.5	699999	ER+ High	DCIS
chr1	-0.223880597014925	<2	4925000.5	949999	ER+ High	DCIS
chr10	-0.0597014925373134	<2	5100000.5	599999	ER+ High	DCIS
chr17	-0.701492537313433	<2	4950000.5	1099999	ER+ High	DCIS
chr18	-0.164179104477612	<2	5325000.5	349999	ER+ High	DCIS
chr6	-0.0597014925373134	<2	5400000.5	199999	ER+ High	DCIS
chr7	-0.0746268656716418	<2	5450000.5	199999	ER+ High	DCIS
chr17	-0.686567164179104	<2	5550000.5	99999	ER+ High	DCIS
chr18	-0.164179104477612	<2	5550000.5	99999	ER+ High	DCIS
chr10	-0.0746268656716418	<2	5525000.5	249999	ER+ High	DCIS
chr18	-0.164179104477612	<2	5650000.5	99999	ER+ High	DCIS
chr12	-0.104477611940299	<2	5325000.5	849999	ER+ High	DCIS
chr18	-0.164179104477612	<2	5725000.5	49999	ER+ High	DCIS
chr1	-0.223880597014925	<2	5600000.5	399999	ER+ High	DCIS
chr18	-0.164179104477612	<2	5775000.5	49999	ER+ High	DCIS
chr10	-0.0746268656716418	<2	5750000.5	199999	ER+ High	DCIS
chr1	-0.223880597014925	<2	5825000.5	49999	ER+ High	DCIS
chr17	-0.686567164179104	<2	5750000.5	299999	ER+ High	DCIS
chr1	-0.223880597014925	<2	5875000.5	49999	ER+ High	DCIS
chr20	-0.0298507462686567	<2	5450000.5	999999	ER+ High	DCIS
chr16	-0.0298507462686567	<2	5550000.5	799999	ER+ High	DCIS
chr12	-0.104477611940299	<2	5850000.5	199999	ER+ High	DCIS
chr10	-0.0597014925373134	<2	5900000.5	99999	ER+ High	DCIS
chr1	-0.223880597014925	<2	5925000.5	49999	ER+ High	DCIS
chr8	-0.597014925373134	<2	5300000.5	1399999	ER+ High	DCIS
chr17	-0.686567164179104	<2	5950000.5	99999	ER+ High	DCIS
chr20	-0.0298507462686567	<2	5975000.5	49999	ER+ High	DCIS
chr4	-0.0895522388059701	<2	5150000.5	1799999	ER+ High	DCIS
chr16	-0.0298507462686567	<2	6000000.5	99999	ER+ High	DCIS
chr20	-0.0298507462686567	<2	6050000.5	99999	ER+ High	DCIS
chr16	-0.0298507462686567	<2	6075000.5	49999	ER+ High	DCIS
chr1	-0.223880597014925	<2	6050000.5	199999	ER+ High	DCIS
chr20	-0.0298507462686567	<2	6125000.5	49999	ER+ High	DCIS
chr8	-0.597014925373134	<2	6100000.5	199999	ER+ High	DCIS
chr20	-0.0298507462686567	<2	6175000.5	49999	ER+ High	DCIS
chr10	-0.0597014925373134	<2	6100000.5	299999	ER+ High	DCIS
chr16	-0.0298507462686567	<2	6175000.5	149999	ER+ High	DCIS
chr8	-0.597014925373134	<2	6225000.5	49999	ER+ High	DCIS
chr6	-0.0447761194029851	<2	5900000.5	799999	ER+ High	DCIS
chr10	-0.0597014925373134	<2	6325000.5	149999	ER+ High	DCIS
chr8	-0.597014925373134	<2	6325000.5	149999	ER+ High	DCIS
chr17	-0.686567164179104	<2	6225000.5	449999	ER+ High	DCIS
chr1	-0.223880597014925	<2	6300000.5	299999	ER+ High	DCIS
chr8	-0.597014925373134	<2	6425000.5	49999	ER+ High	DCIS
chr6	-0.0447761194029851	<2	6400000.5	199999	ER+ High	DCIS
chr10	-0.0597014925373134	<2	6450000.5	99999	ER+ High	DCIS
chr17	-0.686567164179104	<2	6475000.5	49999	ER+ High	DCIS
chr19	-0.0895522388059701	<2	5750000.5	1599999	ER+ High	DCIS
chr6	-0.0597014925373134	<2	6525000.5	49999	ER+ High	DCIS
chr17	-0.686567164179104	<2	6550000.5	99999	ER+ High	DCIS
chr2	-0.149253731343284	<2	5825000.5	1649999	ER+ High	DCIS
chr7	-0.0895522388059701	<2	6100000.5	1099999	ER+ High	DCIS
chr6	-0.0746268656716418	<2	6600000.5	99999	ER+ High	DCIS
chr16	-0.0298507462686567	<2	6475000.5	449999	ER+ High	DCIS
chr6	-0.0895522388059701	<2	6675000.5	49999	ER+ High	DCIS
chr7	-0.0895522388059701	<2	6675000.5	49999	ER+ High	DCIS
chr20	-0.0298507462686567	<2	6475000.5	549999	ER+ High	DCIS
chr19	-0.0895522388059701	<2	6650000.5	199999	ER+ High	DCIS
chr16	-0.0298507462686567	<2	6750000.5	99999	ER+ High	DCIS
chr8	-0.597014925373134	<2	6700000.5	499999	ER+ High	DCIS
chr6	-0.0746268656716418	<2	6825000.5	249999	ER+ High	DCIS
chr12	-0.104477611940299	<2	6500000.5	1099999	ER+ High	DCIS
chr10	-0.0597014925373134	<2	6775000.5	549999	ER+ High	DCIS
chr17	-0.73134328358209	<2	6825000.5	449999	ER+ High	DCIS
chr19	-0.104477611940299	<2	6925000.5	349999	ER+ High	DCIS
chr7	-0.0895522388059701	<2	6925000.5	449999	ER+ High	DCIS
chr5	-0.0149253731343284	<2	5850000.5	2799999	ER+ High	DCIS
chr9	-0.373134328358209	<2	5925000.5	2649999	ER+ High	DCIS
chr7	-0.0895522388059701	<2	7200000.5	99999	ER+ High	DCIS
chr6	-0.0746268656716418	<2	7125000.5	349999	ER+ High	DCIS
chr19	-0.119402985074627	<2	7200000.5	199999	ER+ High	DCIS
chr2	-0.149253731343284	<2	7025000.5	749999	ER+ High	DCIS
chr5	-0.0149253731343284	<2	7325000.5	149999	ER+ High	DCIS
chr9	-0.373134328358209	<2	7325000.5	149999	ER+ High	DCIS
chr19	-0.134328358208955	<2	7375000.5	149999	ER+ High	DCIS
chr11	-0.253731343283582	<2	6200000.5	2599999	ER+ High	DCIS
chr18	-0.17910447761194	<2	6675000.5	1749999	ER+ High	DCIS
chr20	-0.0298507462686567	<2	7175000.5	849999	ER+ High	DCIS
chr12	-0.104477611940299	<2	7325000.5	549999	ER+ High	DCIS
chr6	-0.0597014925373134	<2	7475000.5	349999	ER+ High	DCIS
chr5	-0.0149253731343284	<2	7575000.5	349999	ER+ High	DCIS
chr11	-0.238805970149254	<2	7625000.5	249999	ER+ High	DCIS
chr12	-0.104477611940299	<2	7700000.5	199999	ER+ High	DCIS
chr10	-0.0597014925373134	<2	7450000.5	799999	ER+ High	DCIS
chr7	-0.0895522388059701	<2	7550000.5	599999	ER+ High	DCIS
chr12	-0.104477611940299	<2	7825000.5	49999	ER+ High	DCIS
chr6	-0.0597014925373134	<2	7775000.5	249999	ER+ High	DCIS
chr1	-0.223880597014925	<2	7200000.5	1499999	ER+ High	DCIS
chr18	-0.17910447761194	<2	7750000.5	399999	ER+ High	DCIS
chr20	-0.0298507462686567	<2	7775000.5	349999	ER+ High	DCIS
chr5	-0.0149253731343284	<2	7850000.5	199999	ER+ High	DCIS
chr19	-0.119402985074627	<2	7725000.5	549999	ER+ High	DCIS
chr10	-0.0597014925373134	<2	7925000.5	149999	ER+ High	DCIS
chr12	-0.104477611940299	<2	7925000.5	149999	ER+ High	DCIS
chr1	-0.238805970149254	<2	7975000.5	49999	ER+ High	DCIS
chr10	-0.0597014925373134	<2	8025000.5	49999	ER+ High	DCIS
chr3	-0.223880597014925	<2	6675000.5	2849999	ER+ High	DCIS
chr17	-0.746268656716418	<2	7600000.5	1099999	ER+ High	DCIS
chr12	-0.104477611940299	<2	8075000.5	149999	ER+ High	DCIS
chr16	-0.0298507462686567	<2	7525000.5	1449999	ER+ High	DCIS
chr17	-0.73134328358209	<2	8225000.5	149999	ER+ High	DCIS
chr8	-0.597014925373134	<2	7650000.5	1399999	ER+ High	DCIS
chr7	-0.0895522388059701	<2	8125000.5	549999	ER+ High	DCIS
chr18	-0.17910447761194	<2	8200000.5	499999	ER+ High	DCIS
chr12	-0.0895522388059701	<2	8300000.5	299999	ER+ High	DCIS
chr19	-0.119402985074627	<2	8250000.5	499999	ER+ High	DCIS
chr16	-0.0298507462686567	<2	8375000.5	249999	ER+ High	DCIS
chr10	-0.0597014925373134	<2	8300000.5	499999	ER+ High	DCIS
chr17	-0.73134328358209	<2	8425000.5	249999	ER+ High	DCIS
chr19	-0.119402985074627	<2	8525000.5	49999	ER+ High	DCIS
chr16	-0.0298507462686567	<2	8550000.5	99999	ER+ High	DCIS
chr1	-0.238805970149254	<2	8325000.5	649999	ER+ High	DCIS
chr10	-0.0447761194029851	<2	8600000.5	99999	ER+ High	DCIS
chr19	-0.119402985074627	<2	8600000.5	99999	ER+ High	DCIS
chr16	-0.0298507462686567	<2	8625000.5	49999	ER+ High	DCIS
chr19	-0.134328358208955	<2	8675000.5	49999	ER+ High	DCIS
chr10	-0.0447761194029851	<2	8700000.5	99999	ER+ High	DCIS
chr19	-0.119402985074627	<2	8750000.5	99999	ER+ High	DCIS
chr1	-0.238805970149254	<2	8750000.5	199999	ER+ High	DCIS
chr3	-0.223880597014925	<2	8600000.5	999999	ER+ High	DCIS
chr11	-0.223880597014925	<2	8450000.5	1399999	ER+ High	DCIS
chr8	-0.597014925373134	<2	8750000.5	799999	ER+ High	DCIS
chr18	-0.17910447761194	<2	8800000.5	699999	ER+ High	DCIS
chr12	-0.0895522388059701	<2	8850000.5	799999	ER+ High	DCIS
chr10	-0.0597014925373134	<2	9000000.5	499999	ER+ High	DCIS
chr9	-0.373134328358209	<2	8350000.5	1899999	ER+ High	DCIS
chr10	-0.0298507462686567	<2	9275000.5	49999	ER+ High	DCIS
chr11	-0.223880597014925	<2	9250000.5	199999	ER+ High	DCIS
chr10	-0.0298507462686567	<2	9325000.5	49999	ER+ High	DCIS
chr5	-0.0149253731343284	<2	8675000.5	1449999	ER+ High	DCIS
chr18	-0.17910447761194	<2	9300000.5	299999	ER+ High	DCIS
chr6	-0.0597014925373134	<2	8725000.5	1649999	ER+ High	DCIS
chr17	-0.716417910447761	<2	9050000.5	999999	ER+ High	DCIS
chr19	-0.119402985074627	<2	9200000.5	799999	ER+ High	DCIS
chr10	-0.0298507462686567	<2	9500000.5	299999	ER+ High	DCIS
chr7	-0.0895522388059701	<2	9050000.5	1299999	ER+ High	DCIS
chr17	-0.73134328358209	<2	9625000.5	149999	ER+ High	DCIS
chr17	-0.73134328358209	<2	9725000.5	49999	ER+ High	DCIS
chr4	-0.104477611940299	<2	7925000.5	3749999	ER+ High	DCIS
chr1	-0.223880597014925	<2	9325000.5	949999	ER+ High	DCIS
chr16	-0.0149253731343284	<2	9250000.5	1199999	ER+ High	DCIS
chr8	-0.597014925373134	<2	9500000.5	699999	ER+ High	DCIS
chr17	-0.73134328358209	<2	9825000.5	149999	ER+ High	DCIS
chr1	-0.223880597014925	<2	9850000.5	99999	ER+ High	DCIS
chr8	-0.597014925373134	<2	9875000.5	49999	ER+ High	DCIS
chr20	-0.0298507462686567	<2	8975000.5	2049999	ER+ High	DCIS
chr9	-0.388059701492537	<2	9675000.5	749999	ER+ High	DCIS
chr18	-0.17910447761194	<2	9800000.5	699999	ER+ High	DCIS
chr7	-0.104477611940299	<2	9925000.5	449999	ER+ High	DCIS
chr5	-0.0149253731343284	<2	9800000.5	799999	ER+ High	DCIS
chr10	-0.0298507462686567	<2	9925000.5	549999	ER+ High	DCIS
chr19	-0.119402985074627	<2	9925000.5	649999	ER+ High	DCIS
chr16	-0.0149253731343284	<2	10050000.5	399999	ER+ High	DCIS
chr5	-0.0149253731343284	<2	10250000.5	99999	ER+ High	DCIS
chr16	-0.0149253731343284	<2	10275000.5	49999	ER+ High	DCIS
chr6	-0.0447761194029851	<2	9975000.5	849999	ER+ High	DCIS
chr4	-0.119402985074627	<2	10100000.5	599999	ER+ High	DCIS
chr17	-0.716417910447761	<2	10200000.5	599999	ER+ High	DCIS
chr8	-0.597014925373134	<2	10225000.5	649999	ER+ High	DCIS
chr9	-0.373134328358209	<2	10300000.5	499999	ER+ High	DCIS
chr16	-0.0149253731343284	<2	10425000.5	249999	ER+ High	DCIS
chr19	-0.104477611940299	<2	10425000.5	349999	ER+ High	DCIS
chr16	-0.0149253731343284	<2	10575000.5	49999	ER+ High	DCIS
chr7	-0.104477611940299	<2	10400000.5	499999	ER+ High	DCIS
chr10	-0.0298507462686567	<2	10425000.5	449999	ER+ High	DCIS
chr6	-0.0298507462686567	<2	10525000.5	249999	ER+ High	DCIS
chr19	-0.119402985074627	<2	10625000.5	49999	ER+ High	DCIS
chr18	-0.17910447761194	<2	10425000.5	549999	ER+ High	DCIS
chr10	-0.0298507462686567	<2	10675000.5	49999	ER+ High	DCIS
chr16	-0.0149253731343284	<2	10675000.5	149999	ER+ High	DCIS
chr7	-0.104477611940299	<2	10725000.5	149999	ER+ High	DCIS
chr17	-0.701492537313433	<2	10700000.5	399999	ER+ High	DCIS
chr18	-0.17910447761194	<2	10800000.5	199999	ER+ High	DCIS
chr16	-0.0149253731343284	<2	10850000.5	199999	ER+ High	DCIS
chr12	-0.104477611940299	<2	10125000.5	1749999	ER+ High	DCIS
chr11	-0.238805970149254	<2	10175000.5	1649999	ER+ High	DCIS
chr16	-0.0149253731343284	<2	10975000.5	49999	ER+ High	DCIS
chr19	-0.134328358208955	<2	10875000.5	449999	ER+ High	DCIS
chr18	-0.17910447761194	<2	11075000.5	349999	ER+ High	DCIS
chr19	-0.104477611940299	<2	11175000.5	149999	ER+ High	DCIS
chr8	-0.597014925373134	<2	10925000.5	749999	ER+ High	DCIS
chr6	-0.0298507462686567	<2	10975000.5	649999	ER+ High	DCIS
chr20	-0.0447761194029851	<2	10675000.5	1349999	ER+ High	DCIS
chr19	-0.104477611940299	<2	11300000.5	99999	ER+ High	DCIS
chr2	-0.149253731343284	<2	9400000.5	3999999	ER+ High	DCIS
chr11	-0.223880597014925	<2	11200000.5	399999	ER+ High	DCIS
chr10	-0.0298507462686567	<2	11075000.5	749999	ER+ High	DCIS
chr17	-0.686567164179104	<2	11200000.5	599999	ER+ High	DCIS
chr12	-0.119402985074627	<2	11275000.5	549999	ER+ High	DCIS
chr19	-0.119402985074627	<2	11500000.5	299999	ER+ High	DCIS
chr2	-0.149253731343284	<2	11525000.5	249999	ER+ High	DCIS
chr5	-0.0149253731343284	<2	11025000.5	1449999	ER+ High	DCIS
chr10	-0.0298507462686567	<2	11600000.5	299999	ER+ High	DCIS
chr12	-0.119402985074627	<2	11675000.5	249999	ER+ High	DCIS
chr16	-0.0149253731343284	<2	11425000.5	849999	ER+ High	DCIS
chr18	-0.17910447761194	<2	11575000.5	649999	ER+ High	DCIS
chr20	-0.0447761194029851	<2	11625000.5	549999	ER+ High	DCIS
chr11	-0.238805970149254	<2	11675000.5	549999	ER+ High	DCIS
chr17	-0.701492537313433	<2	11725000.5	449999	ER+ High	DCIS
