sample	ampliconID	Freq	width	FreqNorm	comparison	stage	index	group
CURTIS_H000523_T01_01_WG01	amplicon5	87	6016175	14.461015512348	noncyclic	a	a noncyclic	HER2+
CURTIS_H000524_T01_01_WG01	amplicon1	3	4766032	0.629454439248415	noncyclic	a	a noncyclic	HER2+
CURTIS_H000524_T01_01_WG01	amplicon3	158	22773204	6.93797851193886	ecdna	a	a ecdna	HER2+
CURTIS_H000525_T01_01_WG01	amplicon1	138	6317819	21.8429809400997	noncyclic	b	b noncyclic	ER+ Typical
CURTIS_H000526_T01_01_WG01	amplicon1	78	9996578	7.80267007369922	ecdna	a	a ecdna	ER+ Typical
CURTIS_H000527_T01_01_WG01	amplicon1	101	13111269	7.70329706453281	noncyclic	a	a noncyclic	ER+ High
CURTIS_H000529_T01_01_WG01	amplicon1	120	17701987	6.77890001839906	ecdna	a	a ecdna	ER+ High
CURTIS_H000530_T01_01_WG01	amplicon2	68	6346278	10.7149418919247	ecdna	a	a ecdna	HER2+
CURTIS_H000530_T01_01_WG01	amplicon1	14	2690838	5.20284015611494	noncyclic	a	a noncyclic	HER2+
CURTIS_H000532_T01_01_WG01	amplicon1	9	1171238	7.68417691365888	noncyclic	a	a noncyclic	ER+ Typical
CURTIS_H000532_T01_01_WG01	amplicon2	162	60213759	2.6904149930251	ecdna	a	a ecdna	ER+ Typical
CURTIS_H000533_T01_01_WG01	amplicon1	0	684062	0	ecdna	a	a ecdna	IC10
CURTIS_H000534_T01_01_WG01	amplicon1	0	541444	0	noncyclic	a	a noncyclic	ER+ High
CURTIS_H000535_T01_01_WG01	amplicon2	39	12448273	3.13296470924119	ecdna	a	a ecdna	ER+ High
CURTIS_H000536_T01_01_WG01	amplicon2	29	1551826	18.6876621476892	noncyclic	a	a noncyclic	IC4ER-
CURTIS_H000536_T01_01_WG01	amplicon4	177	50267617	3.52115358880052	noncyclic	a	a noncyclic	IC4ER-
CURTIS_H000536_T01_01_WG01	amplicon3	3	2352013	1.27550315410672	noncyclic	a	a noncyclic	IC4ER-
CURTIS_H000540_T01_01_WG01	amplicon4	20	7502418	2.66580721042203	noncyclic	a	a noncyclic	IC10
CURTIS_H000540_T01_01_WG01	amplicon25	95	5246221	18.108272602317	noncyclic	a	a noncyclic	IC10
CURTIS_H000540_T01_01_WG01	amplicon22	7	1380397	5.07100493553666	ecdna	a	a ecdna	IC10
CURTIS_H000540_T01_01_WG01	amplicon2	3	1279261	2.34510393109772	noncyclic	a	a noncyclic	IC10
CURTIS_H000540_T01_01_WG01	amplicon21	9	2113178	4.25898812120891	ecdna	a	a ecdna	IC10
CURTIS_H000540_T01_01_WG01	amplicon34	12	718998	16.6898934350304	ecdna	a	a ecdna	IC10
CURTIS_H000540_T01_01_WG01	amplicon19	19	2887986	6.5789792609798	ecdna	a	a ecdna	IC10
CURTIS_H000540_T01_01_WG01	amplicon1	17	5545393	3.06560779371273	noncyclic	a	a noncyclic	IC10
CURTIS_H000547_T01_01_WG01	amplicon1	151	8712496	17.3314283300675	noncyclic	a	a noncyclic	HER2+
CURTIS_H000548_T01_01_WG01	amplicon1	67	5452490	12.2879638477099	noncyclic	a	a noncyclic	HER2+
CURTIS_H000551_T01_01_WG01	amplicon1	7	12216773	0.572982734474971	noncyclic	a	a noncyclic	IC10
CURTIS_H000553_T01_01_WG01	amplicon2	50	6712493	7.44879733952795	noncyclic	a	a noncyclic	ER+ High
CURTIS_H000553_T01_01_WG01	amplicon3	554	39905968	13.882635299061	ecdna	a	a ecdna	ER+ High
CURTIS_H000553_T01_01_WG01	amplicon1	25	6261241	3.99281867604202	ecdna	a	a ecdna	ER+ High
CURTIS_H000558_T01_01_WG01	amplicon2	5	1769804	2.82517160092304	ecdna	a	a ecdna	HER2+
CURTIS_H000558_T01_01_WG01	amplicon3	58	13791268	4.20555963382047	ecdna	a	a ecdna	HER2+
CURTIS_H000559_T01_01_WG01	amplicon2	23	2683193	8.57187686461615	noncyclic	a	a noncyclic	HER2+
CURTIS_H000559_T01_01_WG01	amplicon3	90	7949807	11.321029554554	noncyclic	a	a noncyclic	HER2+
CURTIS_H000559_T01_01_WG01	amplicon1	176	5412870	32.5150982750371	noncyclic	a	a noncyclic	HER2+
CURTIS_H000561_T01_01_WG01	amplicon1	63	11191386	5.62932955757223	noncyclic	a	a noncyclic	IC10
CURTIS_H000562_T01_01_WG01	amplicon1	5	957965	5.21939736837985	noncyclic	a	a noncyclic	IC10
CURTIS_H000562_T01_01_WG01	amplicon2	10	2201156	4.54306737005464	ecdna	a	a ecdna	IC10
CURTIS_H000565_T01_01_WG01	amplicon3	29	17249660	1.6811925568388	noncyclic	a	a noncyclic	ER+ High
CURTIS_H000565_T01_01_WG01	amplicon1	0	126283	0	noncyclic	a	a noncyclic	ER+ High
CURTIS_H000569_T01_01_WG01	amplicon1	198	18617532	10.635136816201	ecdna	a	a ecdna	IC10
CURTIS_H000570_T01_01_WG01	amplicon2	4	8606348	0.46477321158754	noncyclic	a	a noncyclic	IC10
CURTIS_H000570_T01_01_WG01	amplicon5	194	17458381	11.1121414981149	noncyclic	a	a noncyclic	IC10
CURTIS_H000577_T01_01_WG01	amplicon1	0	308899	0	noncyclic	a	a noncyclic	IC10
CURTIS_H000581_T01_01_WG01	amplicon1	3	7143180	0.419981016858038	ecdna	a	a ecdna	ER+ High
CURTIS_H000581_T01_01_WG01	amplicon3	5	1850352	2.70218855655573	ecdna	a	a ecdna	ER+ High
CURTIS_H000582_T01_01_WG01	amplicon1	17	6400935	2.65586199516164	ecdna	a	a ecdna	IC10
CURTIS_H000582_T01_01_WG01	amplicon3	50	1992499	25.0941154801081	noncyclic	a	a noncyclic	IC10
CURTIS_H000582_T01_01_WG01	amplicon2	112	15413057	7.26656626261747	ecdna	a	a ecdna	IC10
CURTIS_H000583_T01_01_WG01	amplicon2	46	1051424	43.7501902182183	noncyclic	a	a noncyclic	IC10
CURTIS_H000583_T01_01_WG01	amplicon1	130	22708261	5.72478887749264	ecdna	a	a ecdna	IC10
CURTIS_H000587_T01_01_WG01	amplicon2	56	7764407	7.21239883483697	ecdna	a	a ecdna	HER2+
CURTIS_H000587_T01_01_WG01	amplicon1	210	21620105	9.71318131896214	ecdna	a	a ecdna	HER2+
CURTIS_H000589_T01_01_WG01	amplicon4	59	8290587	7.11650453701288	noncyclic	a	a noncyclic	IC10
CURTIS_H000589_T01_01_WG01	amplicon1	214	34320260	6.23538399767368	noncyclic	a	a noncyclic	IC10
CURTIS_H000592_T01_01_WG01	amplicon1	62	6917423	8.96287533666801	noncyclic	a	a noncyclic	ER+ Typical
CURTIS_H000593_T01_01_WG01	amplicon4	63	9275352	6.792195056317	noncyclic	a	a noncyclic	ER+ High
CURTIS_H000593_T01_01_WG01	amplicon2	49	32110676	1.52597223428121	ecdna	a	a ecdna	ER+ High
CURTIS_H000782_T01_01_WG01	amplicon1	15	16558706	0.905867886053415	noncyclic	a	a noncyclic	IC10
CURTIS_H000782_T01_01_WG01	amplicon3	2	2084583	0.959424498808635	noncyclic	a	a noncyclic	IC10
CURTIS_H000793_T01_01_WG01	amplicon1	0	596881	0	noncyclic	a	a noncyclic	ER+ Typical
CURTIS_H001390_T01_01_WG01	amplicon1	45	8280974	5.43414337492184	ecdna	a	a ecdna	IC10
CURTIS_H001391_T01_01_WG01	amplicon1	103	3140109	32.8014091230591	ecdna	a	a ecdna	ER+ Typical
CURTIS_H001391_T01_01_WG01	amplicon2	106	14832169	7.14662838590903	noncyclic	a	a noncyclic	ER+ Typical
CURTIS_H001392_T01_01_WG01	amplicon2	115	16684218	6.89274139189502	ecdna	a	a ecdna	ER+ Typical
CURTIS_H001392_T01_01_WG01	amplicon1	229	6418467	35.6783013763255	noncyclic	a	a noncyclic	ER+ Typical
CURTIS_H001394_T01_01_WG01	amplicon1	10	4661763	2.14511119505646	noncyclic	a	a noncyclic	ER+ High
CURTIS_H001394_T01_01_WG01	amplicon2	25	6443453	3.87990724848928	ecdna	a	a ecdna	ER+ High
CURTIS_H001395_T01_01_WG01	amplicon1	101	6344080	15.9203540938954	ecdna	a	a ecdna	ER+ High
CURTIS_H001395_T01_01_WG01	amplicon2	48	3887697	12.346641212008	ecdna	a	a ecdna	ER+ High
CURTIS_H001398_T01_01_WG01	amplicon1	291	16238740	17.920109565151	ecdna	a	a ecdna	ER+ High
CURTIS_H001399_T01_01_WG01	amplicon1	26	3272230	7.94565174208414	ecdna	a	a ecdna	HER2+
CURTIS_H001400_T01_01_WG01	amplicon1	100	2656000	37.6506024096386	noncyclic	a	a noncyclic	ER+ High
CURTIS_H001400_T01_01_WG01	amplicon3	192	20828704	9.218048324082	ecdna	a	a ecdna	ER+ High
CURTIS_H001400_T01_01_WG01	amplicon2	72	7062964	10.1940205273593	noncyclic	a	a noncyclic	ER+ High
CURTIS_H001400_T01_01_WG01	amplicon5	39	6169379	6.32154387013669	ecdna	a	a ecdna	ER+ High
CURTIS_H001401_T01_01_WG01	amplicon1	133	10639127	12.5010256950594	ecdna	a	a ecdna	HER2+
CURTIS_H001401_T01_01_WG01	amplicon2	21	2560686	8.20092740773371	noncyclic	a	a noncyclic	HER2+
CURTIS_H001401_T01_01_WG01	amplicon3	72	14611045	4.92777895078689	ecdna	a	a ecdna	HER2+
CURTIS_H001403_T01_01_WG01	amplicon1	56	3798801	14.7414934343757	noncyclic	a	a noncyclic	ER+ High
CURTIS_H001404_T01_01_WG01	amplicon1	103	7103085	14.5007415791871	ecdna	a	a ecdna	HER2+
CURTIS_H001404_T01_01_WG01	amplicon3	19	12715374	1.4942541210349	noncyclic	a	a noncyclic	HER2+
CURTIS_H001410_T01_01_WG01	amplicon1	29	2797374	10.3668654959973	noncyclic	a	a noncyclic	ER+ Typical
CURTIS_H001415_T01_01_WG01	amplicon2	15	1668575	8.98970678573034	noncyclic	a	a noncyclic	ER+ Typical
CURTIS_H001415_T01_01_WG01	amplicon1	193	29071499	6.63880455562336	ecdna	a	a ecdna	ER+ Typical
CURTIS_H001416_T01_01_WG01	amplicon2	25	7222670	3.46132385945918	noncyclic	a	a noncyclic	ER+ High
CURTIS_H001416_T01_01_WG01	amplicon1	28	6419677	4.36159015476947	noncyclic	a	a noncyclic	ER+ High
CURTIS_H001417_T01_01_WG01	amplicon1	349	51417272	6.7876024227812	ecdna	a	a ecdna	ER+ High
CURTIS_H001419_T01_01_WG01	amplicon1	297	21468475	13.8342383424999	ecdna	a	a ecdna	ER+ High
CURTIS_H001422_T01_01_WG01	amplicon1	29	12580845	2.30509158963488	ecdna	a	a ecdna	ER+ High
CURTIS_H001432_T01_01_WG01	amplicon1	21	6846913	3.06707562955744	noncyclic	a	a noncyclic	ER+ High
CURTIS_H001433_T01_01_WG01	amplicon1	70	10862448	6.44421957186815	ecdna	a	a ecdna	ER+ Typical
CURTIS_H001435_T01_01_WG01	amplicon1	26	1910397	13.6097366149549	noncyclic	a	a noncyclic	ER+ Typical
CURTIS_H001436_T01_01_WG01	amplicon1	3	2307983	1.29983626395862	noncyclic	a	a noncyclic	ER+ High
CURTIS_H001438_T01_01_WG01	amplicon1	192	14015771	13.6988539553051	ecdna	a	a ecdna	ER+ High
CURTIS_H001440_T01_01_WG01	amplicon1	228	19943322	11.4323982734672	ecdna	a	a ecdna	HER2+
CURTIS_H001441_T01_01_WG01	amplicon1	172	18850825	9.12426909697586	ecdna	a	a ecdna	HER2+
CURTIS_H001442_T01_01_WG01	amplicon1	324	28732327	11.2764970271987	ecdna	a	a ecdna	HER2+
CURTIS_H001446_T01_01_WG01	amplicon1	25	4196217	5.95774718037699	ecdna	a	a ecdna	ER+ Typical
CURTIS_H001452_T01_01_WG01	amplicon1	30	10501093	2.85684547313313	ecdna	a	a ecdna	ER+ High
CURTIS_H001453_T01_01_WG01	amplicon1	41	2815879	14.5602847281435	noncyclic	a	a noncyclic	ER+ Typical
CURTIS_H001453_T01_01_WG01	amplicon2	40	3363125	11.8937000557517	noncyclic	a	a noncyclic	ER+ Typical
CURTIS_H001455_T01_01_WG01	amplicon1	140	6470222	21.6375883238628	ecdna	a	a ecdna	ER+ Typical
CURTIS_H001459_T01_01_WG01	amplicon1	316	51285157	6.16162684263597	ecdna	a	a ecdna	ER+ High
CURTIS_H001461_T01_01_WG01	amplicon1	70	5879984	11.90479429876	ecdna	a	a ecdna	ER+ High
CURTIS_H001462_T01_01_WG01	amplicon1	115	7938662	14.4860683072286	ecdna	a	a ecdna	HER2+
CURTIS_H001463_T01_01_WG01	amplicon1	50	5609424	8.91357116167364	noncyclic	a	a noncyclic	HER2+
CURTIS_H001464_T01_01_WG01	amplicon1	15	3286645	4.56392461005067	noncyclic	a	a noncyclic	ER+ Typical
CURTIS_H001465_T01_01_WG01	amplicon4	6	3137635	1.91226831674175	noncyclic	a	a noncyclic	HER2+
CURTIS_H001465_T01_01_WG01	amplicon3	40	6034459	6.62859752630683	noncyclic	a	a noncyclic	HER2+
CURTIS_H001466_T01_01_WG01	amplicon1	107	22668017	4.72030702994444	ecdna	a	a ecdna	ER+ High
CURTIS_H001466_T01_01_WG01	amplicon3	25	6421813	3.89298162372526	noncyclic	a	a noncyclic	ER+ High
CURTIS_H001466_T01_01_WG01	amplicon2	47	2797925	16.79816292431	ecdna	a	a ecdna	ER+ High
CURTIS_H001467_T01_01_WG01	amplicon1	36	13237472	2.71955249461529	ecdna	a	a ecdna	ER+ High
CURTIS_H001467_T01_01_WG01	amplicon2	15	3833502	3.91287131192314	ecdna	a	a ecdna	ER+ High
CURTIS_H001468_T01_01_WG01	amplicon1	162	20105131	8.05764458833917	ecdna	a	a ecdna	ER+ Typical
CURTIS_H001471_T01_01_WG01	amplicon1	9	2416395	3.72455662257205	noncyclic	a	a noncyclic	ER+ Typical
CURTIS_H001473_T01_01_WG01	amplicon1	50	47161166	1.06019431326189	noncyclic	a	a noncyclic	ER+ Typical
CURTIS_H001478_T01_01_WG01	amplicon1	587	34926082	16.8069238341707	ecdna	a	a ecdna	ER+ High
CURTIS_H001479_T01_01_WG01	amplicon2	276	89473589	3.0847091648464	ecdna	a	a ecdna	ER+ Typical
CURTIS_H001479_T01_01_WG01	amplicon1	17	1711683	9.93174553933176	noncyclic	a	a noncyclic	ER+ Typical
CURTIS_H001479_T01_01_WG01	amplicon3	24	6262421	3.83238367398168	ecdna	a	a ecdna	ER+ Typical
CURTIS_H001482_T01_01_WG01	amplicon1	21	4085093	5.14064184095686	ecdna	a	a ecdna	ER+ High
CURTIS_H001483_T01_01_WG01	amplicon1	6	1110048	5.40517166825218	noncyclic	a	a noncyclic	HER2+
CURTIS_H001483_T01_01_WG01	amplicon2	59	3508768	16.8150188328211	ecdna	a	a ecdna	HER2+
CURTIS_H001483_T01_01_WG01	amplicon3	3	340075	8.82158347423363	noncyclic	a	a noncyclic	HER2+
CURTIS_H001484_T01_01_WG01	amplicon1	160	10231203	15.6384346982461	ecdna	a	a ecdna	HER2+
CURTIS_H001485_T01_01_WG01	amplicon2	113	5019985	22.5100274204007	ecdna	a	a ecdna	IC4ER-
CURTIS_H001485_T01_01_WG01	amplicon1	7	2890356	2.42184699739409	noncyclic	a	a noncyclic	IC4ER-
CURTIS_H001486_T01_01_WG01	amplicon2	70	7858226	8.90786291969714	noncyclic	a	a noncyclic	ER+ High
CURTIS_H001486_T01_01_WG01	amplicon4	89	11492133	7.74442829716642	noncyclic	a	a noncyclic	ER+ High
CURTIS_H001486_T01_01_WG01	amplicon3	14	10943911	1.27925016934074	ecdna	a	a ecdna	ER+ High
CURTIS_H001486_T01_01_WG01	amplicon1	6	6299925	0.952392290384409	noncyclic	a	a noncyclic	ER+ High
CURTIS_H001488_T01_01_WG01	amplicon1	87	11443886	7.60231271090956	ecdna	a	a ecdna	HER2+
CURTIS_H001489_T01_01_WG01	amplicon1	158	18114778	8.72216043718559	ecdna	a	a ecdna	HER2+
CURTIS_H001492_T01_01_WG01	amplicon1	57	3590728	15.8742182643742	noncyclic	a	a noncyclic	ER+ Typical
CURTIS_H001510_T01_01_WG01	amplicon2	320	52278623	6.12104875065282	ecdna	a	a ecdna	ER+ High
CURTIS_H001510_T01_01_WG01	amplicon3	0	526728	0	noncyclic	a	a noncyclic	ER+ High
CURTIS_H001511_T01_01_WG01	amplicon1	320	27991139	11.432189308195	ecdna	a	a ecdna	ER+ High
CURTIS_H001516_T01_01_WG01	amplicon1	53	4388306	12.0775533884829	noncyclic	a	a noncyclic	ER+ Typical
CURTIS_H001516_T01_01_WG01	amplicon2	10	2052472	4.87217365206444	noncyclic	a	a noncyclic	ER+ Typical
CURTIS_H001518_T01_01_WG01	amplicon1	132	28243501	4.67364155739758	ecdna	a	a ecdna	ER+ High
CURTIS_H001519_T01_01_WG01	amplicon2	112	7457933	15.0175658590658	ecdna	a	a ecdna	ER+ High
CURTIS_H001520_T01_01_WG01	amplicon1	17	4938864	3.44208708723302	noncyclic	a	a noncyclic	ER+ High
CURTIS_H001524_T01_01_WG01	amplicon1	44	11643974	3.77877861973927	noncyclic	a	a noncyclic	ER+ Typical
CURTIS_H001525_T01_01_WG01	amplicon3	2	491571	4.06858826090229	noncyclic	a	a noncyclic	ER+ Typical
CURTIS_H001526_T01_01_WG01	amplicon1	42	5642249	7.44384021336173	ecdna	a	a ecdna	ER+ High
CURTIS_H001528_T01_01_WG01	amplicon1	86	17517752	4.90930571456886	ecdna	a	a ecdna	ER+ Typical
CURTIS_H001530_T01_01_WG01	amplicon1	95	10927450	8.69370255640612	ecdna	a	a ecdna	ER+ High
CURTIS_H001531_T01_01_WG01	amplicon1	82	5591922	14.6640099772493	noncyclic	a	a noncyclic	ER+ Typical
CURTIS_H001532_T01_01_WG01	amplicon1	439	35352018	12.417961543242	ecdna	a	a ecdna	ER+ High
CURTIS_H001533_T01_01_WG01	amplicon1	227	8555874	26.5314800101077	noncyclic	a	a noncyclic	ER+ Typical
CURTIS_H001534_T01_01_WG01	amplicon1	287	16943610	16.9385390716618	ecdna	a	a ecdna	ER+ High
CURTIS_H001535_T01_01_WG01	amplicon2	119	2019802	58.9166660890523	noncyclic	a	a noncyclic	ER+ Typical
CURTIS_H001535_T01_01_WG01	amplicon1	68	3859334	17.6196203800967	noncyclic	a	a noncyclic	ER+ Typical
CURTIS_H001539_T01_01_WG01	amplicon1	301	10160461	29.6246400630838	ecdna	a	a ecdna	ER+ Typical
CURTIS_H001541_T01_01_WG01	amplicon1	50	6677480	7.48785469967712	ecdna	a	a ecdna	ER+ High
CURTIS_H001545_T01_01_WG01	amplicon3	184	19684175	9.34761045357502	ecdna	a	a ecdna	HER2+
CURTIS_H001545_T01_01_WG01	amplicon4	28	8489398	3.29823151182216	ecdna	a	a ecdna	HER2+
CURTIS_H001545_T01_01_WG01	amplicon2	73	19922584	3.66418332079815	ecdna	a	a ecdna	HER2+
CURTIS_H001545_T01_01_WG01	amplicon1	32	2818178	11.3548540936733	noncyclic	a	a noncyclic	HER2+
CURTIS_H001546_T01_01_WG01	amplicon1	21	3636043	5.77550925552861	noncyclic	a	a noncyclic	ER+ High
CURTIS_H001547_T01_01_WG01	amplicon1	68	5475658	12.4185988241048	ecdna	a	a ecdna	HER2+
CURTIS_H001554_T01_01_WG01	amplicon1	51	14395947	3.54266377890944	ecdna	a	a ecdna	ER+ High
CURTIS_H001556_T01_01_WG01	amplicon1	71	6733451	10.5443701899665	ecdna	a	a ecdna	HER2+
CURTIS_H001559_T01_01_WG01	amplicon1	33	4668818	7.06817014499173	noncyclic	a	a noncyclic	ER+ High
CURTIS_H001562_T01_01_WG01	amplicon1	197	18250404	10.7942815950814	noncyclic	a	a noncyclic	ER+ Typical
CURTIS_H001566_T01_01_WG01	amplicon1	47	7562603	6.21479138862638	noncyclic	a	a noncyclic	ER+ High
