group	type	distance	logdistance	index
ER+ Typical	median_ecdna_rloops	NA	NA	ER+ Typicalmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	185814092	8.26907864980845	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	12818905.5	7.10785097984186	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	NA	NA	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	3665061.5	6.56408138502726	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	5681569	6.75446836178856	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	4387614	6.64222851254189	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	4850252	6.68576439296065	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	878627	5.9438050391885	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	NA	NA	ER+ Highmedian_ecdna_rloops
ER+ Typical	median_ecdna_rloops	9224673	6.96495102713432	ER+ Typicalmedian_ecdna_rloops
ER+ Typical	median_ecdna_rloops	22324085.5	7.34877369662548	ER+ Typicalmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	10484383	7.02054291899213	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	NA	NA	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	8330070.5	6.92064872912854	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	1686977	6.22710941896085	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	11424896	7.05785229342169	ER+ Highmedian_ecdna_rloops
ER+ Typical	median_ecdna_rloops	4654909.5	6.66791133521429	ER+ Typicalmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	888249	5.94853521616137	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	3353813.5	6.52553903803921	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	NA	NA	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	7952205.5	6.9004876491365	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	2078930	6.3178400752783	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	339190	5.53044432028812	ER+ Highmedian_ecdna_rloops
HER2+	median_ecdna_rloops	14999865	7.17608737934098	HER2+median_ecdna_rloops
HER2+	median_ecdna_rloops	5162669	6.71287436565164	HER2+median_ecdna_rloops
ER+ Typical	median_ecdna_rloops	7825559	6.89351542560606	ER+ Typicalmedian_ecdna_rloops
ER+ Typical	median_ecdna_rloops	2214001.5	6.34517810693818	ER+ Typicalmedian_ecdna_rloops
ER+ Typical	median_ecdna_rloops	2404743	6.38106884981379	ER+ Typicalmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	13923273	7.14374136982526	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	10748015	7.03132830427272	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	59782067	7.77657093421371	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	4015153	6.60370220716578	ER+ Highmedian_ecdna_rloops
HER2+	median_ecdna_rloops	2993260	6.4761445871769	HER2+median_ecdna_rloops
ER+ High	median_ecdna_rloops	845747.5	5.92724123620604	ER+ Highmedian_ecdna_rloops
ER+ Typical	median_ecdna_rloops	18783900	7.27378579063721	ER+ Typicalmedian_ecdna_rloops
HER2+	median_ecdna_rloops	1317008	6.11958874279548	HER2+median_ecdna_rloops
ER+ High	median_ecdna_rloops	20580773.5	7.3134617141945	ER+ Highmedian_ecdna_rloops
ER+ Typical	median_ecdna_rloops	NA	NA	ER+ Typicalmedian_ecdna_rloops
ER+ Typical	median_ecdna_rloops	18894850	7.27634347153046	ER+ Typicalmedian_ecdna_rloops
HER2+	median_ecdna_rloops	26400953	7.4216196204096	HER2+median_ecdna_rloops
HER2+	median_ecdna_rloops	13352201.5	7.12555291024741	HER2+median_ecdna_rloops
IC10	median_ecdna_rloops	8970283	6.9528061930642	IC10median_ecdna_rloops
ER+ Typical	median_ecdna_rloops	1756140	6.24455938233523	ER+ Typicalmedian_ecdna_rloops
HER2+	median_ecdna_rloops	5012343	6.70004086922057	HER2+median_ecdna_rloops
ER+ Typical	median_ecdna_rloops	11248015	7.0510759254484	ER+ Typicalmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	NA	NA	ER+ Highmedian_ecdna_rloops
ER+ Typical	median_ecdna_rloops	24605502	7.39103224756118	ER+ Typicalmedian_ecdna_rloops
HER2+	median_ecdna_rloops	4909981	6.69107990000179	HER2+median_ecdna_rloops
HER2+	median_ecdna_rloops	11287050	7.05258048738793	HER2+median_ecdna_rloops
ER+ Typical	median_ecdna_rloops	3203579	6.50563557369224	ER+ Typicalmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	3393940	6.5307042883066	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	2786845.5	6.4451130483549	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	5035794	6.7020680422895	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	1721414	6.23588558298473	ER+ Highmedian_ecdna_rloops
IC10	median_ecdna_rloops	13949972	7.14457336703884	IC10median_ecdna_rloops
ER+ Typical	median_ecdna_rloops	5070713	6.70506911602518	ER+ Typicalmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	4984623	6.69763240419555	ER+ Highmedian_ecdna_rloops
IC10	median_ecdna_rloops	18646073	7.27058740345706	IC10median_ecdna_rloops
ER+ Typical	median_ecdna_rloops	16396212.5	7.21474356475963	ER+ Typicalmedian_ecdna_rloops
ER+ Typical	median_ecdna_rloops	NA	NA	ER+ Typicalmedian_ecdna_rloops
HER2+	median_ecdna_rloops	10695703	7.02920937546696	HER2+median_ecdna_rloops
HER2+	median_ecdna_rloops	12460473	7.09553456332387	HER2+median_ecdna_rloops
ER+ High	median_ecdna_rloops	NA	NA	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	421037	5.62432129404364	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	3014495	6.479214711927	ER+ Highmedian_ecdna_rloops
ER+ Typical	median_ecdna_rloops	25659990.5	7.40925650817672	ER+ Typicalmedian_ecdna_rloops
HER2+	median_ecdna_rloops	5652542.5	6.75224391320886	HER2+median_ecdna_rloops
ER+ Typical	median_ecdna_rloops	NA	NA	ER+ Typicalmedian_ecdna_rloops
HER2+	median_ecdna_rloops	6738708	6.8285767024879	HER2+median_ecdna_rloops
HER2+	median_ecdna_rloops	8396859	6.92411691229809	HER2+median_ecdna_rloops
ER+ High	median_ecdna_rloops	14216930.5	7.15280587090702	ER+ Highmedian_ecdna_rloops
IC10	median_ecdna_rloops	7993756.5	6.90275096929195	IC10median_ecdna_rloops
ER+ Typical	median_ecdna_rloops	14381511.5	7.15780456308867	ER+ Typicalmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	4628318	6.66542328441223	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	NA	NA	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	1487570	6.17247770325595	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	4467804	6.65009420981688	ER+ Highmedian_ecdna_rloops
IC10	median_ecdna_rloops	92970270.5	7.96834409922591	IC10median_ecdna_rloops
ER+ Typical	median_ecdna_rloops	5699840	6.75586274097324	ER+ Typicalmedian_ecdna_rloops
ER+ Typical	median_ecdna_rloops	6392413	6.80566489398008	ER+ Typicalmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	181570439	8.25904514600317	ER+ Highmedian_ecdna_rloops
ER+ Typical	median_ecdna_rloops	26281143	7.41964426583728	ER+ Typicalmedian_ecdna_rloops
ER+ Typical	median_ecdna_rloops	NA	NA	ER+ Typicalmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	11719784	7.06891964460271	ER+ Highmedian_ecdna_rloops
ER+ Typical	median_ecdna_rloops	NA	NA	ER+ Typicalmedian_ecdna_rloops
HER2+	median_ecdna_rloops	NA	NA	HER2+median_ecdna_rloops
HER2+	median_ecdna_rloops	4683821.5	6.67060042851579	HER2+median_ecdna_rloops
HER2+	median_ecdna_rloops	6082819	6.78410496521134	HER2+median_ecdna_rloops
HER2+	median_ecdna_rloops	NA	NA	HER2+median_ecdna_rloops
HER2+	median_ecdna_rloops	5312606.5	6.72530773104603	HER2+median_ecdna_rloops
ER+ Typical	median_ecdna_rloops	3513363.5	6.54572320875212	ER+ Typicalmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	2800658	6.44726023362409	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	6185428	6.79136982617558	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	2028585	6.30719342393768	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	13707686.5	7.1369641950741	ER+ Highmedian_ecdna_rloops
ER+ Typical	median_ecdna_rloops	4071627	6.60976809228369	ER+ Typicalmedian_ecdna_rloops
ER+ Typical	median_ecdna_rloops	174149177.5	8.24092143013644	ER+ Typicalmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	10156843.5	7.0067588035095	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	NA	NA	ER+ Highmedian_ecdna_rloops
ER+ Typical	median_ecdna_rloops	7156178	6.85468119519047	ER+ Typicalmedian_ecdna_rloops
HER2+	median_ecdna_rloops	9632166	6.98372400366352	HER2+median_ecdna_rloops
HER2+	median_ecdna_rloops	5030077.5	6.70157476275986	HER2+median_ecdna_rloops
HER2+	median_ecdna_rloops	9009507	6.95470107524996	HER2+median_ecdna_rloops
HER2+	median_ecdna_rloops	2356587	6.37228366187661	HER2+median_ecdna_rloops
ER+ High	median_ecdna_rloops	13095174	7.11711130658153	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	NA	NA	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	NA	NA	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	12833343	7.10833983576073	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	NA	NA	ER+ Highmedian_ecdna_rloops
HER2+	median_ecdna_rloops	4998446.5	6.69883513495983	HER2+median_ecdna_rloops
ER+ High	median_ecdna_rloops	1187434	6.0746098457378	ER+ Highmedian_ecdna_rloops
HER2+	median_ecdna_rloops	5018754	6.7005959952945	HER2+median_ecdna_rloops
IC10	median_ecdna_rloops	17619461	7.24599264334967	IC10median_ecdna_rloops
ER+ High	median_ecdna_rloops	2274101	6.35680994014226	ER+ Highmedian_ecdna_rloops
HER2+	median_ecdna_rloops	3220920	6.50798007294611	HER2+median_ecdna_rloops
HER2+	median_ecdna_rloops	519729	5.71577778601359	HER2+median_ecdna_rloops
HER2+	median_ecdna_rloops	34116581	7.53296551449737	HER2+median_ecdna_rloops
HER2+	median_ecdna_rloops	4961213	6.69558796056061	HER2+median_ecdna_rloops
ER+ High	median_ecdna_rloops	4716527	6.67362241700211	ER+ Highmedian_ecdna_rloops
HER2+	median_ecdna_rloops	20376313	7.30912562450643	HER2+median_ecdna_rloops
ER+ Typical	median_ecdna_rloops	16803111	7.22538972215838	ER+ Typicalmedian_ecdna_rloops
HER2+	median_ecdna_rloops	27669336	7.44199875289985	HER2+median_ecdna_rloops
IC10	median_ecdna_rloops	5099111	6.70749455118061	IC10median_ecdna_rloops
ER+ High	median_ecdna_rloops	2513011	6.40019456241722	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	5849731	6.76713596974247	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	14318668.5	7.15590266492341	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	10486436	7.02062795205538	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	9961766	6.99833637961704	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	2016102	6.30451271586325	ER+ Highmedian_ecdna_rloops
IC10	median_ecdna_rloops	5592066	6.74757236616323	IC10median_ecdna_rloops
ER+ High	median_ecdna_rloops	9844199.5	6.99318045053634	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	8788369.5	6.94390835761508	ER+ Highmedian_ecdna_rloops
HER2+	median_ecdna_rloops	5066088	6.70467281511686	HER2+median_ecdna_rloops
ER+ High	median_ecdna_rloops	16381867	7.21436342220077	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	14439526	7.15955296714952	ER+ Highmedian_ecdna_rloops
ER+ Typical	median_ecdna_rloops	24969379.5	7.39740776747073	ER+ Typicalmedian_ecdna_rloops
HER2+	median_ecdna_rloops	4952566	6.69483035953284	HER2+median_ecdna_rloops
ER+ Typical	median_ecdna_rloops	1723029	6.23629283909692	ER+ Typicalmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	6849010	6.83562786371836	ER+ Highmedian_ecdna_rloops
IC10	median_ecdna_rloops	NA	NA	IC10median_ecdna_rloops
HER2+	median_ecdna_rloops	785430	5.89510803834419	HER2+median_ecdna_rloops
ER+ High	median_ecdna_rloops	2182251	6.33890490018915	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	NA	NA	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	26860031	7.4291065257346	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	7319078	6.86445643483121	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	5024412	6.70108533061949	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	3487906	6.54256489658012	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	10246333	7.01056850847891	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	14397064	7.15827396541319	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	2479096	6.39429351980557	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	8025290	6.90446078903989	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	5167902	6.71331435348546	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	983011	5.99255881946181	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	4529054	6.65600759470624	ER+ Highmedian_ecdna_rloops
HER2+	median_ecdna_rloops	5342146	6.7277158343425	HER2+median_ecdna_rloops
ER+ High	median_ecdna_rloops	3341288	6.52391404094108	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	1845007.5	6.26599837130516	ER+ Highmedian_ecdna_rloops
IC10	median_ecdna_rloops	14645311	7.1656986282153	IC10median_ecdna_rloops
ER+ High	median_ecdna_rloops	2182580.5	6.33897046971526	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	8089965	6.90794669639059	ER+ Highmedian_ecdna_rloops
ER+ Typical	median_ecdna_rloops	15896955	7.20131397218432	ER+ Typicalmedian_ecdna_rloops
HER2+	median_ecdna_rloops	5179450.5	6.71428377072283	HER2+median_ecdna_rloops
HER2+	median_ecdna_rloops	8588001	6.93389213690404	HER2+median_ecdna_rloops
ER+ High	median_ecdna_rloops	NA	NA	ER+ Highmedian_ecdna_rloops
ER+ Typical	median_ecdna_rloops	3881203	6.58896647029629	ER+ Typicalmedian_ecdna_rloops
IC10	median_ecdna_rloops	5831561	6.76578489731841	IC10median_ecdna_rloops
ER+ Typical	median_ecdna_rloops	15666087	7.19496056174489	ER+ Typicalmedian_ecdna_rloops
ER+ Typical	median_ecdna_rloops	19011325	7.27901240904848	ER+ Typicalmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	3273167.5	6.51496836300326	ER+ Highmedian_ecdna_rloops
ER+ Typical	median_ecdna_rloops	60623476	7.78264084127953	ER+ Typicalmedian_ecdna_rloops
ER+ Typical	median_ecdna_rloops	12306630	7.09013917897828	ER+ Typicalmedian_ecdna_rloops
HER2+	median_ecdna_rloops	6029794.5	6.78030258332961	HER2+median_ecdna_rloops
IC10	median_ecdna_rloops	7985484.5	6.90230132542894	IC10median_ecdna_rloops
ER+ Typical	median_ecdna_rloops	6329470	6.80136741438051	ER+ Typicalmedian_ecdna_rloops
ER+ Typical	median_ecdna_rloops	4789096	6.68025363347988	ER+ Typicalmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	7442228.5	6.87170305846256	ER+ Highmedian_ecdna_rloops
ER+ Typical	median_ecdna_rloops	16307263	7.2123811020963	ER+ Typicalmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	2422895	6.38433477295077	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	3273285	6.51498395299984	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	9193679.5	6.96348940701729	ER+ Highmedian_ecdna_rloops
ER+ Typical	median_ecdna_rloops	21325289	7.32889494579705	ER+ Typicalmedian_ecdna_rloops
ER+ Typical	median_ecdna_rloops	NA	NA	ER+ Typicalmedian_ecdna_rloops
HER2+	median_ecdna_rloops	2877188.5	6.45896846671968	HER2+median_ecdna_rloops
ER+ High	median_ecdna_rloops	756600	5.87886691096438	ER+ Highmedian_ecdna_rloops
HER2+	median_ecdna_rloops	5376280.5	6.73048200013059	HER2+median_ecdna_rloops
ER+ Typical	median_ecdna_rloops	5497770	6.74018664610992	ER+ Typicalmedian_ecdna_rloops
ER+ Typical	median_ecdna_rloops	20300587	7.30750861729533	ER+ Typicalmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	4383043	6.64177583042154	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	4542829	6.65732648512118	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	2568188	6.40962698148276	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	5825178.5	6.76530931247203	ER+ Highmedian_ecdna_rloops
ER+ Typical	median_ecdna_rloops	15305635	7.18485138068616	ER+ Typicalmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	NA	NA	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	NA	NA	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	3933683	6.59479946931784	ER+ Highmedian_ecdna_rloops
ER+ Typical	median_ecdna_rloops	4781569	6.67957051803155	ER+ Typicalmedian_ecdna_rloops
ER+ Typical	median_ecdna_rloops	2671269	6.42671778677985	ER+ Typicalmedian_ecdna_rloops
ER+ Typical	median_ecdna_rloops	10610975	7.0257553322444	ER+ Typicalmedian_ecdna_rloops
ER+ Typical	median_ecdna_rloops	5155980	6.71231130829146	ER+ Typicalmedian_ecdna_rloops
IC10	median_ecdna_rloops	1674725	6.22394376276273	IC10median_ecdna_rloops
ER+ Typical	median_ecdna_rloops	NA	NA	ER+ Typicalmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	NA	NA	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	3788947	6.57851864500367	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	214124	5.33066737597357	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	59703973	7.77600323948499	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	9460678	6.97592230715981	ER+ Highmedian_ecdna_rloops
ER+ Typical	median_ecdna_rloops	NA	NA	ER+ Typicalmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	2708213	6.43268297882665	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	12357330	7.09192467972199	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	1561416	6.19351890345572	ER+ Highmedian_ecdna_rloops
ER+ Typical	median_ecdna_rloops	3494512.5	6.54338672257896	ER+ Typicalmedian_ecdna_rloops
IC10	median_ecdna_rloops	82015990	7.91389853684698	IC10median_ecdna_rloops
IC10	median_ecdna_rloops	NA	NA	IC10median_ecdna_rloops
IC10	median_ecdna_rloops	77010653	7.88655081157946	IC10median_ecdna_rloops
ER+ High	median_ecdna_rloops	2582708	6.41207547593185	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	4268950	6.63032116990075	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	2399197	6.38006609071857	ER+ Highmedian_ecdna_rloops
ER+ Typical	median_ecdna_rloops	NA	NA	ER+ Typicalmedian_ecdna_rloops
ER+ Typical	median_ecdna_rloops	4537086.5	6.65677715493292	ER+ Typicalmedian_ecdna_rloops
IC10	median_ecdna_rloops	1148334.5	6.06006879094676	IC10median_ecdna_rloops
IC10	median_ecdna_rloops	7845791	6.89463679035359	IC10median_ecdna_rloops
IC10	median_ecdna_rloops	237916.5	5.37642638770314	IC10median_ecdna_rloops
ER+ Typical	median_ecdna_rloops	4153351	6.61839873948441	ER+ Typicalmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	14719749	7.16790043401354	ER+ Highmedian_ecdna_rloops
IC10	median_ecdna_rloops	17435628.5	7.24143763186348	IC10median_ecdna_rloops
ER+ High	median_ecdna_rloops	5472033	6.73814878717085	ER+ Highmedian_ecdna_rloops
IC10	median_ecdna_rloops	5831561	6.76578489731841	IC10median_ecdna_rloops
ER+ High	median_ecdna_rloops	1427022	6.15443097289922	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	756600	5.87886691096438	ER+ Highmedian_ecdna_rloops
ER+ Typical	median_ecdna_rloops	6913603	6.83970450023674	ER+ Typicalmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	3524018	6.54703824127602	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	NA	NA	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	14253009	7.15390658984267	ER+ Highmedian_ecdna_rloops
HER2+	median_ecdna_rloops	5844298	6.76673242675718	HER2+median_ecdna_rloops
ER+ High	median_ecdna_rloops	1419224	6.15205125275993	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	824651	5.91627071659319	ER+ Highmedian_ecdna_rloops
ER+ Typical	median_ecdna_rloops	4478150	6.65109873358449	ER+ Typicalmedian_ecdna_rloops
ER+ Typical	median_ecdna_rloops	3352315	6.52534494987109	ER+ Typicalmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	NA	NA	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	13749441	7.13828507334895	ER+ Highmedian_ecdna_rloops
HER2+	median_ecdna_rloops	16442070	7.21595651923962	HER2+median_ecdna_rloops
HER2+	median_ecdna_rloops	5131716	6.71026269822369	HER2+median_ecdna_rloops
ER+ High	median_ecdna_rloops	1548438.5	6.18989424144647	ER+ Highmedian_ecdna_rloops
ER+ Typical	median_ecdna_rloops	15429641	7.18835584963877	ER+ Typicalmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	3820935	6.58216976339382	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	1244931	6.09514563028212	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	13033319	7.11505505838495	ER+ Highmedian_ecdna_rloops
ER+ Typical	median_ecdna_rloops	5116471	6.70897060178395	ER+ Typicalmedian_ecdna_rloops
ER+ Typical	median_ecdna_rloops	18786419.5	7.27384403900481	ER+ Typicalmedian_ecdna_rloops
ER+ Typical	median_ecdna_rloops	8594401.5	6.93421568905415	ER+ Typicalmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	6844589	6.83534743843487	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	1771571	6.24835880756802	ER+ Highmedian_ecdna_rloops
HER2+	median_ecdna_rloops	7867024	6.8958105302816	HER2+median_ecdna_rloops
ER+ High	median_ecdna_rloops	12773196	7.10629961031651	ER+ Highmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	3359818.5	6.52631594636019	ER+ Highmedian_ecdna_rloops
ER+ Typical	median_ecdna_rloops	30013027	7.47730981339726	ER+ Typicalmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	13588289	7.13316480696865	ER+ Highmedian_ecdna_rloops
ER+ Typical	median_ecdna_rloops	14643466	7.1656439128364	ER+ Typicalmedian_ecdna_rloops
ER+ High	median_ecdna_rloops	1066740.5	6.02805919100376	ER+ Highmedian_ecdna_rloops
HER2+	median_ecdna_rloops	6105341	6.78570999662696	HER2+median_ecdna_rloops
ER+ Typical	median_ecdna_rloops	11462927.5	7.05929558350531	ER+ Typicalmedian_ecdna_rloops
HER2+	median_ecdna_rloops	4413969.5	6.64482942630411	HER2+median_ecdna_rloops
ER+ Typical	median_ecdna_rloops	11608087.5	7.06476071050094	ER+ Typicalmedian_ecdna_rloops
