Sample	CellType	Proportion	TME
MB-0050	Fibroblasts CD68+	0.0120259019426457	IE/F
MB-0050	T cells	0.00185013876040703	IE/F
MB-0050	Myofibroblasts	0.232192414431082	IE/F
MB-0050	Vascular SMA+	0.00740055504162812	IE/F
MB-0050	B cells	0	IE/F
MB-0060	Fibroblasts	0.0956561922365989	IE
MB-0060	Fibroblasts CD68+	0.0711645101663586	IE
MB-0060	T cells	0.138170055452865	IE
MB-0060	Myofibroblasts	0.115988909426987	IE
MB-0060	Vascular SMA+	0.000924214417744917	IE
MB-0060	B cells	0.00415896487985213	IE
MB-0064	Fibroblasts	0.0363941769316909	D
MB-0064	Fibroblasts CD68+	0.0207166853303471	D
MB-0064	T cells	0.00615901455767077	D
MB-0064	Myofibroblasts	0.115901455767077	D
MB-0064	Vascular SMA+	0	D
MB-0064	B cells	0	D
MB-0081	Fibroblasts	0.113520840393087	IE
MB-0081	Fibroblasts CD68+	0.0315147407658421	IE
MB-0081	T cells	0.272788885123687	IE
MB-0081	Myofibroblasts	0.159945781091156	IE
MB-0081	Vascular SMA+	0.00203320908166723	IE
MB-0081	B cells	0.0155879362927821	IE
MB-0095	Fibroblasts	0.05	D
MB-0095	Fibroblasts CD68+	0.0188405797101449	D
MB-0095	T cells	0.00072463768115942	D
MB-0095	Myofibroblasts	0.171014492753623	D
MB-0095	Vascular SMA+	0.00507246376811594	D
MB-0095	B cells	0	D
MB-0107	Fibroblasts	0.00925925925925926	D
MB-0107	Fibroblasts CD68+	0.0194444444444444	D
MB-0107	T cells	0.0333333333333333	D
MB-0107	Myofibroblasts	0.0777777777777778	D
MB-0107	Vascular SMA+	0	D
MB-0107	B cells	0.000925925925925926	D
MB-0109	Fibroblasts	0.0315910396323952	IE
MB-0109	Fibroblasts CD68+	0.00287191269385411	IE
MB-0109	T cells	0.0666283744974153	IE
MB-0109	Myofibroblasts	0.00114876507754164	IE
MB-0109	Vascular SMA+	0	IE
MB-0109	B cells	0.00459506031016657	IE
MB-0111	Fibroblasts	0.363090128755365	F
MB-0111	Fibroblasts CD68+	0.032618025751073	F
MB-0111	T cells	0.0137339055793991	F
MB-0111	Myofibroblasts	0.171673819742489	F
MB-0111	Vascular SMA+	0.00600858369098712	F
MB-0111	B cells	0	F
MB-0112	Fibroblasts	0.0187110187110187	D
MB-0112	Fibroblasts CD68+	0.00207900207900208	D
MB-0112	T cells	0	D
MB-0112	Myofibroblasts	0.0249480249480249	D
MB-0112	Vascular SMA+	0	D
MB-0112	B cells	0	D
MB-0114	Fibroblasts	0.0901960784313725	D
MB-0114	Fibroblasts CD68+	0.0745098039215686	D
MB-0114	T cells	0.0888888888888889	D
MB-0114	Myofibroblasts	0.177777777777778	D
MB-0114	Vascular SMA+	0.0130718954248366	D
MB-0114	B cells	0.00130718954248366	D
MB-0115	Fibroblasts	0.394782608695652	IE
MB-0115	Fibroblasts CD68+	0.00347826086956522	IE
MB-0115	T cells	0.00434782608695652	IE
MB-0115	Myofibroblasts	0.219130434782609	IE
MB-0115	Vascular SMA+	0.00260869565217391	IE
MB-0115	B cells	0	IE
MB-0116	Fibroblasts	0.00798035604665439	D
MB-0116	Fibroblasts CD68+	0.0049109883364027	D
MB-0116	T cells	0.00122774708410068	D
MB-0116	Myofibroblasts	0.367710251688152	D
MB-0116	Vascular SMA+	0.0356046654389196	D
MB-0116	B cells	0	D
MB-0117	Fibroblasts	0.0958247775496235	IE/F
MB-0117	Fibroblasts CD68+	0.0157426420260096	IE/F
MB-0117	T cells	0.0102669404517454	IE/F
MB-0117	Myofibroblasts	0.120465434633812	IE/F
MB-0117	Vascular SMA+	0.00752908966461328	IE/F
MB-0117	B cells	0	IE/F
MB-0119	Fibroblasts	0.134346504559271	IE
MB-0119	Fibroblasts CD68+	0.0571428571428571	IE
MB-0119	T cells	0.0139817629179331	IE
MB-0119	Myofibroblasts	0.0297872340425532	IE
MB-0119	Vascular SMA+	0.00121580547112462	IE
MB-0119	B cells	0	IE
MB-0120	Fibroblasts	0.222222222222222	IE/F
MB-0120	Fibroblasts CD68+	0.0723514211886305	IE/F
MB-0120	T cells	0.0749354005167959	IE/F
MB-0120	Myofibroblasts	0.0645994832041344	IE/F
MB-0120	Vascular SMA+	0	IE/F
MB-0120	B cells	0.00775193798449612	IE/F
MB-0121	Fibroblasts	0.319254658385093	F
MB-0121	Fibroblasts CD68+	0.0397515527950311	F
MB-0121	T cells	0.0360248447204969	F
MB-0121	Myofibroblasts	0.165217391304348	F
MB-0121	Vascular SMA+	0.0173913043478261	F
MB-0121	B cells	0	F
MB-0122	Fibroblasts	0.0421052631578947	F
MB-0122	Fibroblasts CD68+	0.0210526315789474	F
MB-0122	T cells	0.02	F
MB-0122	Myofibroblasts	0.36	F
MB-0122	Vascular SMA+	0.0221052631578947	F
MB-0122	B cells	0	F
MB-0123	Fibroblasts	0.0130624092888244	D
MB-0123	Fibroblasts CD68+	0.0174165457184325	D
MB-0123	T cells	0.00362844702467344	D
MB-0123	Myofibroblasts	0.209724238026125	D
MB-0123	Vascular SMA+	0.0123367198838897	D
MB-0123	B cells	0	D
MB-0124	Fibroblasts	0.136792452830189	F
MB-0124	Fibroblasts CD68+	0.010377358490566	F
MB-0124	T cells	0.0490566037735849	F
MB-0124	Myofibroblasts	0.030188679245283	F
MB-0124	Vascular SMA+	0	F
MB-0124	B cells	0	F
MB-0126	Fibroblasts	0.0525020508613618	F
MB-0126	Fibroblasts CD68+	0.0475799835931091	F
MB-0126	T cells	0.0721903199343724	F
MB-0126	Myofibroblasts	0.149302707136998	F
MB-0126	Vascular SMA+	0.0172272354388843	F
MB-0126	B cells	0.00246103363412633	F
MB-0128	Fibroblasts	0.244776119402985	IE/F
MB-0128	Fibroblasts CD68+	0.0189054726368159	IE/F
MB-0128	T cells	0.178109452736318	IE/F
MB-0128	Myofibroblasts	0.0945273631840796	IE/F
MB-0128	Vascular SMA+	0.00199004975124378	IE/F
MB-0128	B cells	0.120398009950249	IE/F
MB-0130	Fibroblasts	0.0528735632183908	IE/F
MB-0130	Fibroblasts CD68+	0.0275862068965517	IE/F
MB-0130	T cells	0	IE/F
MB-0130	Myofibroblasts	0.141379310344828	IE/F
MB-0130	Vascular SMA+	0.00689655172413793	IE/F
MB-0130	B cells	0	IE/F
MB-0131	Fibroblasts	0.0299760191846523	F
MB-0131	Fibroblasts CD68+	0.0779376498800959	F
MB-0131	T cells	0.114508393285372	F
MB-0131	Myofibroblasts	0.026978417266187	F
MB-0131	Vascular SMA+	0.000599520383693046	F
MB-0131	B cells	0.000599520383693046	F
MB-0133	Fibroblasts	0.681818181818182	F
MB-0133	Fibroblasts CD68+	0.0681818181818182	F
MB-0133	T cells	0.0227272727272727	F
MB-0133	Myofibroblasts	0.181818181818182	F
MB-0133	Vascular SMA+	0	F
MB-0133	B cells	0	F
MB-0134	Fibroblasts	0.0231707317073171	F
MB-0134	Fibroblasts CD68+	0.0134146341463415	F
MB-0134	T cells	0.00426829268292683	F
MB-0134	Myofibroblasts	0.124390243902439	F
MB-0134	Vascular SMA+	0.00792682926829268	F
MB-0134	B cells	0	F
MB-0135	Fibroblasts	0.0417227456258412	D
MB-0135	Fibroblasts CD68+	0.0356662180349933	D
MB-0135	T cells	0.00134589502018843	D
MB-0135	Myofibroblasts	0.0356662180349933	D
MB-0135	Vascular SMA+	0.000672947510094213	D
MB-0135	B cells	0	D
MB-0136	Fibroblasts	0.0885922330097087	IE/F
MB-0136	Fibroblasts CD68+	0.0436893203883495	IE/F
MB-0136	T cells	0.0370145631067961	IE/F
MB-0136	Myofibroblasts	0.223907766990291	IE/F
MB-0136	Vascular SMA+	0.00970873786407767	IE/F
MB-0136	B cells	0.000606796116504854	IE/F
MB-0138	Fibroblasts	0.124835742444152	IE/F
MB-0138	Fibroblasts CD68+	0.0459921156373193	IE/F
MB-0138	T cells	0.00919842312746386	IE/F
MB-0138	Myofibroblasts	0.331143232588699	IE/F
MB-0138	Vascular SMA+	0.0236530880420499	IE/F
MB-0138	B cells	0	IE/F
MB-0139	Fibroblasts	0.126050420168067	IE/F
MB-0139	Fibroblasts CD68+	0.00630252100840336	IE/F
MB-0139	T cells	0.0189075630252101	IE/F
MB-0139	Myofibroblasts	0.319327731092437	IE/F
MB-0139	Vascular SMA+	0.0105042016806723	IE/F
MB-0139	B cells	0.00630252100840336	IE/F
MB-0140	Fibroblasts	0.0442528735632184	D
MB-0140	Fibroblasts CD68+	0.0632183908045977	D
MB-0140	T cells	0.00919540229885057	D
MB-0140	Myofibroblasts	0.0275862068965517	D
MB-0140	Vascular SMA+	0	D
MB-0140	B cells	0.000574712643678161	D
MB-0142	Fibroblasts	0.0268817204301075	D
MB-0142	Fibroblasts CD68+	0.00537634408602151	D
MB-0142	T cells	0	D
MB-0142	Myofibroblasts	0.0443548387096774	D
MB-0142	Vascular SMA+	0.00403225806451613	D
MB-0142	B cells	0	D
MB-0143	Fibroblasts	0.0403655750190404	D
MB-0143	Fibroblasts CD68+	0.0236100533130236	D
MB-0143	T cells	0.0434120335110434	D
MB-0143	Myofibroblasts	0.0738766184310739	D
MB-0143	Vascular SMA+	0.00152322924600152	D
MB-0143	B cells	0.000761614623000762	D
MB-0144	Fibroblasts	0.03	IE/F
MB-0144	Fibroblasts CD68+	0.0488888888888889	IE/F
MB-0144	T cells	0.0166666666666667	IE/F
MB-0144	Myofibroblasts	0.155555555555556	IE/F
MB-0144	Vascular SMA+	0.00666666666666667	IE/F
MB-0144	B cells	0	IE/F
MB-0145	Fibroblasts	0.270875763747454	F
MB-0145	Fibroblasts CD68+	0.0173116089613035	F
MB-0145	T cells	0.156822810590631	F
MB-0145	Myofibroblasts	0.0692464358452139	F
MB-0145	Vascular SMA+	0	F
MB-0145	B cells	0.0254582484725051	F
MB-0150	Fibroblasts	0.027431421446384	IE
MB-0150	Fibroblasts CD68+	0.028262676641729	IE
MB-0150	T cells	0.0689941812136326	IE
MB-0150	Myofibroblasts	0.0473815461346633	IE
MB-0150	Vascular SMA+	0	IE
MB-0150	B cells	0.00249376558603491	IE
MB-0151	Fibroblasts	0.13304347826087	D
MB-0151	Fibroblasts CD68+	0.0878260869565217	D
MB-0151	T cells	0.49304347826087	D
MB-0151	Myofibroblasts	0.0408695652173913	D
MB-0151	Vascular SMA+	0.00173913043478261	D
MB-0151	B cells	0.0539130434782609	D
MB-0152	Fibroblasts	0.603174603174603	IE/F
MB-0152	Fibroblasts CD68+	0.0714285714285714	IE/F
MB-0152	T cells	0.0952380952380952	IE/F
MB-0152	Myofibroblasts	0.103174603174603	IE/F
MB-0152	Vascular SMA+	0.00793650793650794	IE/F
MB-0152	B cells	0.0158730158730159	IE/F
MB-0154	Fibroblasts	0.183745583038869	F
MB-0154	Fibroblasts CD68+	0.0123674911660777	F
MB-0154	T cells	0.00706713780918728	F
MB-0154	Myofibroblasts	0.212014134275618	F
MB-0154	Vascular SMA+	0	F
MB-0154	B cells	0	F
MB-0162	Fibroblasts	0.4	IE
MB-0162	Fibroblasts CD68+	0.0235294117647059	IE
MB-0162	T cells	0.0705882352941176	IE
MB-0162	Myofibroblasts	0.152941176470588	IE
MB-0162	Vascular SMA+	0	IE
MB-0162	B cells	0	IE
MB-0163	Fibroblasts	0.228949199721642	D
MB-0163	Fibroblasts CD68+	0.0173973556019485	D
MB-0163	T cells	0.0292275574112735	D
MB-0163	Myofibroblasts	0.302018093249826	D
MB-0163	Vascular SMA+	0.00278357689631176	D
MB-0163	B cells	0	D
MB-0164	Fibroblasts	0.345323741007194	F
MB-0164	Fibroblasts CD68+	0.0383693045563549	F
MB-0164	T cells	0.0599520383693046	F
MB-0164	Myofibroblasts	0.350119904076739	F
MB-0164	Vascular SMA+	0.00719424460431655	F
MB-0164	B cells	0.0287769784172662	F
MB-0165	Fibroblasts	0.147160068846816	IE/F
MB-0165	Fibroblasts CD68+	0.0344234079173838	IE/F
MB-0165	T cells	0.0654044750430293	IE/F
MB-0165	Myofibroblasts	0.173838209982788	IE/F
MB-0165	Vascular SMA+	0.00172117039586919	IE/F
MB-0165	B cells	0.00516351118760757	IE/F
MB-0166	Fibroblasts	0.04642166344294	F
MB-0166	Fibroblasts CD68+	0.0174081237911025	F
MB-0166	T cells	0.0193423597678917	F
MB-0166	Myofibroblasts	0.39651837524178	F
MB-0166	Vascular SMA+	0.0193423597678917	F
MB-0166	B cells	0	F
MB-0167	Fibroblasts	0.0276110444177671	IE
MB-0167	Fibroblasts CD68+	0.00180072028811525	IE
MB-0167	T cells	0.00600240096038415	IE
MB-0167	Myofibroblasts	0.0348139255702281	IE
MB-0167	Vascular SMA+	0	IE
MB-0167	B cells	0	IE
MB-0168	Fibroblasts	0.115995115995116	F
MB-0168	Fibroblasts CD68+	0.0500610500610501	F
MB-0168	T cells	0.043956043956044	F
MB-0168	Myofibroblasts	0.105006105006105	F
MB-0168	Vascular SMA+	0.00610500610500611	F
MB-0168	B cells	0	F
MB-0170	Fibroblasts	0.346921075455334	IE/F
MB-0170	Fibroblasts CD68+	0.10928013876843	IE/F
MB-0170	T cells	0.217692974848222	IE/F
MB-0170	Myofibroblasts	0.137901127493495	IE/F
MB-0170	Vascular SMA+	0.00173460537727667	IE/F
MB-0170	B cells	0.002601908065915	IE/F
MB-0173	Fibroblasts	0.677595628415301	IE
MB-0173	Fibroblasts CD68+	0.109289617486339	IE
MB-0173	T cells	0.0491803278688525	IE
MB-0173	Myofibroblasts	0	IE
MB-0173	Vascular SMA+	0	IE
MB-0173	B cells	0.00546448087431694	IE
MB-0174	Fibroblasts	0.0786163522012579	F
MB-0174	Fibroblasts CD68+	0.00838574423480084	F
MB-0174	T cells	0.00628930817610063	F
MB-0174	Myofibroblasts	0.20440251572327	F
MB-0174	Vascular SMA+	0.00209643605870021	F
MB-0174	B cells	0	F
MB-0175	Fibroblasts	0.174650698602794	F
MB-0175	Fibroblasts CD68+	0.00998003992015968	F
MB-0175	T cells	0.00499001996007984	F
MB-0175	Myofibroblasts	0.149700598802395	F
MB-0175	Vascular SMA+	0.000998003992015968	F
MB-0175	B cells	0	F
MB-0176	Fibroblasts	0.108936170212766	D
MB-0176	Fibroblasts CD68+	0.0170212765957447	D
MB-0176	T cells	0.0102127659574468	D
MB-0176	Myofibroblasts	0.0740425531914894	D
MB-0176	Vascular SMA+	0	D
MB-0176	B cells	0.0025531914893617	D
MB-0177	Fibroblasts	0.153968253968254	F
MB-0177	Fibroblasts CD68+	0.019047619047619	F
MB-0177	T cells	0.00158730158730159	F
MB-0177	Myofibroblasts	0.0587301587301587	F
MB-0177	Vascular SMA+	0	F
MB-0177	B cells	0	F
MB-0178	Fibroblasts	0.260533104041273	IE
MB-0178	Fibroblasts CD68+	0.0464316423043852	IE
MB-0178	T cells	0.0369733447979364	IE
MB-0178	Myofibroblasts	0.0619088564058469	IE
MB-0178	Vascular SMA+	0.000859845227858985	IE
MB-0178	B cells	0.000859845227858985	IE
MB-0179	Fibroblasts	0.0669216061185468	IE/F
MB-0179	Fibroblasts CD68+	0.0235818992989165	IE/F
MB-0179	T cells	0.0267686424474187	IE/F
MB-0179	Myofibroblasts	0.240280433397068	IE/F
MB-0179	Vascular SMA+	0.0197578075207138	IE/F
MB-0179	B cells	0.00127469725940089	IE/F
MB-0180	Fibroblasts	0.0441058540497193	D
MB-0180	Fibroblasts CD68+	0.0136327185244587	D
MB-0180	T cells	0.0120288692862871	D
MB-0180	Myofibroblasts	0.186046511627907	D
MB-0180	Vascular SMA+	0.00561347233360064	D
MB-0180	B cells	0	D
MB-0181	Fibroblasts	0.074245939675174	F
MB-0181	Fibroblasts CD68+	0.0293890177880897	F
MB-0181	T cells	0.00618716163959783	F
MB-0181	Myofibroblasts	0.0982211910286156	F
MB-0181	Vascular SMA+	0.0123743232791957	F
MB-0181	B cells	0	F
MB-0184	Fibroblasts	0.126236183827807	D
MB-0184	Fibroblasts CD68+	0.0159976730657359	D
MB-0184	T cells	0.00639906922629436	D
MB-0184	Myofibroblasts	0.0631180919139034	D
MB-0184	Vascular SMA+	0.00029086678301338	D
MB-0184	B cells	0.00029086678301338	D
MB-0188	Fibroblasts	0.0189243027888446	IE
MB-0188	Fibroblasts CD68+	0.00896414342629482	IE
MB-0188	T cells	0.0209163346613546	IE
MB-0188	Myofibroblasts	0.0547808764940239	IE
MB-0188	Vascular SMA+	0.00099601593625498	IE
MB-0188	B cells	0	IE
MB-0189	Fibroblasts	0.026344676180022	F
MB-0189	Fibroblasts CD68+	0.00768386388583974	F
MB-0189	T cells	0	F
MB-0189	Myofibroblasts	0.402854006586169	F
MB-0189	Vascular SMA+	0.0801317233809001	F
MB-0189	B cells	0	F
MB-0191	Fibroblasts	0.0570793180133432	IE
MB-0191	Fibroblasts CD68+	0.0044477390659748	IE
MB-0191	T cells	0.0103780578206079	IE
MB-0191	Myofibroblasts	0.0259451445515196	IE
MB-0191	Vascular SMA+	0	IE
MB-0191	B cells	0	IE
MB-0192	Fibroblasts	0.178217821782178	IE
MB-0192	Fibroblasts CD68+	0.0309405940594059	IE
MB-0192	T cells	0.00742574257425743	IE
MB-0192	Myofibroblasts	0.217821782178218	IE
MB-0192	Vascular SMA+	0.00618811881188119	IE
MB-0192	B cells	0	IE
MB-0193	Fibroblasts	0.360655737704918	D
MB-0193	Fibroblasts CD68+	0.0122950819672131	D
MB-0193	T cells	0.0655737704918033	D
MB-0193	Myofibroblasts	0.0983606557377049	D
MB-0193	Vascular SMA+	0.00409836065573771	D
MB-0193	B cells	0.00819672131147541	D
MB-0194	Fibroblasts	0.0287162162162162	F
MB-0194	Fibroblasts CD68+	0.0253378378378378	F
MB-0194	T cells	0.00591216216216216	F
MB-0194	Myofibroblasts	0.340371621621622	F
MB-0194	Vascular SMA+	0.0118243243243243	F
MB-0194	B cells	0	F
MB-0195	Fibroblasts	0.0299234516353514	D
MB-0195	Fibroblasts CD68+	0.00278357689631176	D
MB-0195	T cells	0.00765483646485734	D
MB-0195	Myofibroblasts	0.0361864996520529	D
MB-0195	Vascular SMA+	0	D
MB-0195	B cells	0	D
MB-0197	Fibroblasts	0.0398009950248756	IE
MB-0197	Fibroblasts CD68+	0.124378109452736	IE
MB-0197	T cells	0.17910447761194	IE
MB-0197	Myofibroblasts	0.109452736318408	IE
MB-0197	Vascular SMA+	0	IE
MB-0197	B cells	0.00497512437810945	IE
MB-0198	Fibroblasts	0.0397599399849963	D
MB-0198	Fibroblasts CD68+	0.0465116279069767	D
MB-0198	T cells	0.0165041260315079	D
MB-0198	Myofibroblasts	0.413353338334584	D
MB-0198	Vascular SMA+	0.0112528132033008	D
MB-0198	B cells	0	D
MB-0199	Fibroblasts	0.0138662316476346	IE/F
MB-0199	Fibroblasts CD68+	0.0203915171288744	IE/F
MB-0199	T cells	0.0946166394779772	IE/F
MB-0199	Myofibroblasts	0.00815660685154975	IE/F
MB-0199	Vascular SMA+	0.000815660685154976	IE/F
MB-0199	B cells	0.000815660685154976	IE/F
MB-0200	Fibroblasts	0.0685169124024285	IE
MB-0200	Fibroblasts CD68+	0.0112749349522984	IE
MB-0200	T cells	0.0815264527320035	IE
MB-0200	Myofibroblasts	0.155247181266262	IE
MB-0200	Vascular SMA+	0	IE
MB-0200	B cells	0.002601908065915	IE
MB-0201	Fibroblasts	0.0413793103448276	F
MB-0201	Fibroblasts CD68+	0.0275862068965517	F
MB-0201	T cells	0.00344827586206897	F
MB-0201	Myofibroblasts	0.239655172413793	F
MB-0201	Vascular SMA+	0.0258620689655172	F
MB-0201	B cells	0	F
MB-0202	Fibroblasts	0.144453312051077	F
MB-0202	Fibroblasts CD68+	0.0375099760574621	F
MB-0202	T cells	0.0119712689545092	F
MB-0202	Myofibroblasts	0.211492418196329	F
MB-0202	Vascular SMA+	0.00159616919393456	F
MB-0202	B cells	0	F
MB-0203	Fibroblasts	0.0376442015786278	IE/F
MB-0203	Fibroblasts CD68+	0.00182149362477231	IE/F
MB-0203	T cells	0.0570734669095325	IE/F
MB-0203	Myofibroblasts	0.0758955676988464	IE/F
MB-0203	Vascular SMA+	0.000607164541590771	IE/F
MB-0203	B cells	0	IE/F
MB-0204	Fibroblasts	0.74025974025974	F
MB-0204	Fibroblasts CD68+	0.0476190476190476	F
MB-0204	T cells	0.0432900432900433	F
MB-0204	Myofibroblasts	0.0865800865800866	F
MB-0204	Vascular SMA+	0	F
MB-0204	B cells	0	F
MB-0205	Fibroblasts	0.177664974619289	F
MB-0205	Fibroblasts CD68+	0.0406091370558376	F
MB-0205	T cells	0.182741116751269	F
MB-0205	Myofibroblasts	0.0431472081218274	F
MB-0205	Vascular SMA+	0	F
MB-0205	B cells	0.0050761421319797	F
MB-0206	Fibroblasts	0.116731517509728	IE
MB-0206	Fibroblasts CD68+	0.0217898832684825	IE
MB-0206	T cells	0.133852140077821	IE
MB-0206	Myofibroblasts	0.0591439688715953	IE
MB-0206	Vascular SMA+	0.000778210116731518	IE
MB-0206	B cells	0.00700389105058366	IE
MB-0214	Fibroblasts	0.705607476635514	F
MB-0214	Fibroblasts CD68+	0.0186915887850467	F
MB-0214	T cells	0.0560747663551402	F
MB-0214	Myofibroblasts	0.088785046728972	F
MB-0214	Vascular SMA+	0.0186915887850467	F
MB-0214	B cells	0	F
MB-0218	Fibroblasts	0.119877049180328	F
MB-0218	Fibroblasts CD68+	0.0245901639344262	F
MB-0218	T cells	0.0297131147540984	F
MB-0218	Myofibroblasts	0.0881147540983607	F
MB-0218	Vascular SMA+	0.0133196721311475	F
MB-0218	B cells	0.0194672131147541	F
MB-0220	Fibroblasts	0.0354838709677419	IE/F
MB-0220	Fibroblasts CD68+	0.0532258064516129	IE/F
MB-0220	T cells	0.00483870967741936	IE/F
MB-0220	Myofibroblasts	0.0516129032258065	IE/F
MB-0220	Vascular SMA+	0	IE/F
MB-0220	B cells	0	IE/F
MB-0221	Fibroblasts	0.12085308056872	IE
MB-0221	Fibroblasts CD68+	0.0649289099526066	IE
MB-0221	T cells	0.0402843601895735	IE
MB-0221	Myofibroblasts	0.0843601895734597	IE
MB-0221	Vascular SMA+	0.0028436018957346	IE
MB-0221	B cells	0.00521327014218009	IE
MB-0222	Fibroblasts	0.0516014234875445	IE
MB-0222	Fibroblasts CD68+	0.0231316725978648	IE
MB-0222	T cells	0.0765124555160142	IE
MB-0222	Myofibroblasts	0.366548042704626	IE
MB-0222	Vascular SMA+	0.0346975088967972	IE
MB-0222	B cells	0.00355871886120996	IE
MB-0223	Fibroblasts	0.13570487483531	IE
MB-0223	Fibroblasts CD68+	0.0737812911725955	IE
MB-0223	T cells	0.0408432147562582	IE
MB-0223	Myofibroblasts	0.330698287220026	IE
MB-0223	Vascular SMA+	0.0276679841897233	IE
MB-0223	B cells	0	IE
MB-0224	Fibroblasts	0.188380281690141	F
MB-0224	Fibroblasts CD68+	0.112676056338028	F
MB-0224	T cells	0.0352112676056338	F
MB-0224	Myofibroblasts	0.126760563380282	F
MB-0224	Vascular SMA+	0.00176056338028169	F
MB-0224	B cells	0	F
MB-0225	Fibroblasts	0.0212355212355212	D
MB-0225	Fibroblasts CD68+	0.0704633204633205	D
MB-0225	T cells	0.00868725868725869	D
MB-0225	Myofibroblasts	0.115830115830116	D
MB-0225	Vascular SMA+	0.028957528957529	D
MB-0225	B cells	0	D
MB-0227	Fibroblasts	0.0265291083271923	F
MB-0227	Fibroblasts CD68+	0.0184229918938836	F
MB-0227	T cells	0.00442151805453206	F
MB-0227	Myofibroblasts	0.105379513633014	F
MB-0227	Vascular SMA+	0.0125276344878408	F
MB-0227	B cells	0	F
MB-0228	Fibroblasts	0.69811320754717	F
MB-0228	Fibroblasts CD68+	0.0943396226415094	F
MB-0228	T cells	0.0377358490566038	F
MB-0228	Myofibroblasts	0.0943396226415094	F
MB-0228	Vascular SMA+	0	F
MB-0228	B cells	0	F
MB-0231	Fibroblasts	0.22707423580786	F
MB-0231	Fibroblasts CD68+	0.0283842794759825	F
MB-0231	T cells	0.0131004366812227	F
MB-0231	Myofibroblasts	0.148471615720524	F
MB-0231	Vascular SMA+	0.0240174672489083	F
MB-0231	B cells	0	F
MB-0232	Fibroblasts	0.0436835891381346	F
MB-0232	Fibroblasts CD68+	0.0295159386068477	F
MB-0232	T cells	0.00472255017709563	F
MB-0232	Myofibroblasts	0.128689492325856	F
MB-0232	Vascular SMA+	0	F
MB-0232	B cells	0	F
MB-0233	Fibroblasts	0.482384823848238	IE
MB-0233	Fibroblasts CD68+	0.0542005420054201	IE
MB-0233	T cells	0.02710027100271	IE
MB-0233	Myofibroblasts	0.176151761517615	IE
MB-0233	Vascular SMA+	0.00813008130081301	IE
MB-0233	B cells	0.102981029810298	IE
MB-0235	Fibroblasts	0.0142348754448399	F
MB-0235	Fibroblasts CD68+	0.0241992882562278	F
MB-0235	T cells	0.00142348754448399	F
MB-0235	Myofibroblasts	0.152313167259786	F
MB-0235	Vascular SMA+	0.00711743772241993	F
MB-0235	B cells	0	F
MB-0236	Fibroblasts	0.341786108048512	F
MB-0236	Fibroblasts CD68+	0.0264608599779493	F
MB-0236	T cells	0.0121278941565601	F
MB-0236	Myofibroblasts	0.201764057331863	F
MB-0236	Vascular SMA+	0.00441014332965821	F
MB-0236	B cells	0	F
