group,Sample,Gene_symbol,gencode_start_hg19,gencode_end_hg19,Cytoband_hg19,IC
HER2+,CURTIS_H001682,CCDC44,61678231,61685725,17q23,IC1
HER2+,CURTIS_H001682,INTS2,59942728,60005377,17q23,IC1
HER2+,CURTIS_H001682,FGF4,69585784,69590171,11q13,IC2
HER2+,CURTIS_H001682,CA4,58227297,58248260,17q23,IC1
HER2+,CURTIS_H001682,FTSJ3,61896793,61907372,17q23,IC1
HER2+,CURTIS_H001682,WDR68,61627822,61671628,17q23,IC1
HER2+,CURTIS_H001682,CCDC45,62502706,62538579,17q23,IC1
HER2+,CURTIS_H001682,DQ893774,62495734,62504317,17q23,IC1
HER2+,CURTIS_H001682,CD79B,62006100,62009714,17q23,IC1
HER2+,CURTIS_H001682,CCND1,69455855,69469242,11q13,IC2
HER2+,CURTIS_H001682,PTRH2,57751997,57784987,17q23,IC1
HER2+,CURTIS_H001682,RNFT1,58029601,58042122,17q23,IC1
HER2+,CURTIS_H001682,TLK2,60536019,60692842,17q23,IC1
HER2+,CURTIS_H001682,PPFIA1,70116806,70231418,11q13,IC2
HER2+,CURTIS_H001682,MED13,60019966,60142643,17q23,IC1
HER2+,CURTIS_H001682,RPS6KB1,57970407,58027925,17q23,IC1
HER2+,CURTIS_H001682,CTTN,70244510,70282690,11q13,IC2
HER2+,CURTIS_H001682,CLTC,57697050,57774317,17q23,IC1
HER2+,CURTIS_H001682,APPBP2,58520510,58603580,17q23,IC1
HER2+,CURTIS_H001682,STRADA,61759696,61819346,17q23,IC1
HER2+,CURTIS_H001682,DDX42,61850963,61896677,17q23,IC1
HER2+,CURTIS_H001682,USP32,58256455,58499831,17q23,IC1
HER2+,CURTIS_H001682,CCDC47,61822610,61853711,17q23,IC1
HER2+,CURTIS_H001682,SMARCD2,61909441,61920425,17q23,IC1
HER2+,CURTIS_H001682,CYB561,61509665,61523739,17q23,IC1
HER2+,CURTIS_H001673,HEATR6,58120555,58156292,17q23,IC1
HER2+,CURTIS_H001673,TMEM49,57784553,57919616,17q23,IC1
HER2+,CURTIS_H001673,PPM1D,58677544,58743641,17q23,IC1
HER2+,CURTIS_H001673,DHX40,57642886,57685706,17q23,IC1
HER2+,CURTIS_H001673,TUBD1,57936843,57970306,17q23,IC1
HER2+,CURTIS_H001673,CCDC44,61678231,61685725,17q23,IC1
HER2+,CURTIS_H001673,INTS2,59942728,60005377,17q23,IC1
HER2+,CURTIS_H001673,CA4,58227297,58248260,17q23,IC1
HER2+,CURTIS_H001673,NSMCE2,126103921,126379362,8q24,IC9
HER2+,CURTIS_H001673,WDR68,61627822,61671628,17q23,IC1
HER2+,CURTIS_H001673,PTRH2,57751997,57784987,17q23,IC1
HER2+,CURTIS_H001673,RNFT1,58029601,58042122,17q23,IC1
HER2+,CURTIS_H001673,TLK2,60536019,60692842,17q23,IC1
HER2+,CURTIS_H001673,MED13,60019966,60142643,17q23,IC1
HER2+,CURTIS_H001673,RPS6KB1,57970407,58027925,17q23,IC1
HER2+,CURTIS_H001673,CLTC,57697050,57774317,17q23,IC1
HER2+,CURTIS_H001673,SQLE,126010739,126034525,8q24,IC9
HER2+,CURTIS_H001673,APPBP2,58520510,58603580,17q23,IC1
HER2+,CURTIS_H001673,STRADA,61759696,61819346,17q23,IC1
HER2+,CURTIS_H001673,DQ894708,118532952,118552501,8q24,IC9
HER2+,CURTIS_H001673,DDX42,61850963,61896677,17q23,IC1
HER2+,CURTIS_H001673,USP32,58256455,58499831,17q23,IC1
HER2+,CURTIS_H001673,UTP23,117778742,117861702,8q24,IC9
HER2+,CURTIS_H001673,CCDC47,61822610,61853711,17q23,IC1
HER2+,CURTIS_H001673,RAD21,117858174,117887105,8q24,IC9
HER2+,CURTIS_H001673,CYB561,61509665,61523739,17q23,IC1
HER2+,CURTIS_H001673,MYC,128747680,128753680,8q24,IC9
HER2+,CURTIS_H001656,POLD4,67118248,67124443,11q13,IC2
HER2+,CURTIS_H001656,EIF2C2,141530255,141645718,8q24,IC9
HER2+,CURTIS_H001656,C8orf82,145751117,145754516,8q24,IC9
HER2+,CURTIS_H001656,TAF2,120743015,120845103,8q24,IC9
HER2+,CURTIS_H001656,HEATR6,58120555,58156292,17q23,IC1
HER2+,CURTIS_H001656,C8orf55,143808621,143818345,8q24,IC9
HER2+,CURTIS_H001656,TMEM49,57784553,57919616,17q23,IC1
HER2+,CURTIS_H001656,EEF1D,144661867,144681711,8q24,IC9
HER2+,CURTIS_H001656,PPM1D,58677544,58743641,17q23,IC1
HER2+,CURTIS_H001656,DGAT1,145538247,145550573,8q24,IC9
HER2+,CURTIS_H001656,DSCC1,120846216,120868250,8q24,IC9
HER2+,CURTIS_H001656,ZC3H3,144519825,144623623,8q24,IC9
HER2+,CURTIS_H001656,HSF1,145515273,145538385,8q24,IC9
HER2+,CURTIS_H001656,TUBD1,57936843,57970306,17q23,IC1
HER2+,CURTIS_H001656,ADCK5,145596790,145618457,8q24,IC9
HER2+,CURTIS_H001656,PPP1CA,67165654,67188654,11q13,IC2
HER2+,CURTIS_H001656,LRRC14,145743376,145750562,8q24,IC9
HER2+,CURTIS_H001656,FGF4,69585784,69590171,11q13,IC2
HER2+,CURTIS_H001656,ZNF16,146155744,146176274,8q24,IC9
HER2+,CURTIS_H001656,PUF60,144898514,144912029,8q24,IC9
HER2+,CURTIS_H001656,RPS6KB2,67195931,67202879,11q13,IC2
HER2+,CURTIS_H001656,RPL8,146015150,146017972,8q24,IC9
HER2+,CURTIS_H001656,COMMD5,146066427,146079121,8q24,IC9
HER2+,CURTIS_H001656,CA4,58227297,58248260,17q23,IC1
HER2+,CURTIS_H001656,CYC1,145149930,145152428,8q24,IC9
HER2+,CURTIS_H001656,ZNF251,145946292,145981802,8q24,IC9
HER2+,CURTIS_H001656,WDYHV1,124428965,124482268,8q24,IC9
HER2+,CURTIS_H001656,EFR3A,132916335,133025889,8q24,IC9
HER2+,CURTIS_H001656,NSMCE2,126103921,126379362,8q24,IC9
HER2+,CURTIS_H001656,SHARPIN,145153536,145163027,8q24,IC9
HER2+,CURTIS_H001656,CYHR1,145674965,145691060,8q24,IC9
HER2+,CURTIS_H001656,ZNF707,144766622,144796068,8q24,IC9
HER2+,CURTIS_H001656,GLI4,144349603,144359101,8q24,IC9
HER2+,CURTIS_H001656,PHF20L1,133787604,133861052,8q24,IC9
HER2+,CURTIS_H001656,DERL1,124025404,124054663,8q24,IC9
HER2+,CURTIS_H001656,FAM84B,127564687,127570638,8q24,IC9
HER2+,CURTIS_H001656,TOP1MT,144386554,144442149,8q24,IC9
HER2+,CURTIS_H001656,KIAA1688,145754563,145831201,8q24,IC9
HER2+,CURTIS_H001656,CCND1,69455855,69469242,11q13,IC2
HER2+,CURTIS_H001656,VPS28,145648984,145653946,8q24,IC9
HER2+,CURTIS_H001656,PPP1R16A,145703352,145727504,8q24,IC9
HER2+,CURTIS_H001656,SCRIB,144873090,144897549,8q24,IC9
HER2+,CURTIS_H001656,RNFT1,58029601,58042122,17q23,IC1
HER2+,CURTIS_H001656,PTK2,141667999,142012315,8q24,IC9
HER2+,CURTIS_H001656,EXOSC4,145133529,145135550,8q24,IC9
HER2+,CURTIS_H001656,FAM83H,144806103,144815971,8q24,IC9
HER2+,CURTIS_H001656,PPFIA1,70116806,70231418,11q13,IC2
HER2+,CURTIS_H001656,WDR67,124054208,124164393,8q24,IC9
HER2+,CURTIS_H001656,CTTN,70244510,70282690,11q13,IC2
HER2+,CURTIS_H001656,BOP1,145486055,145515082,8q24,IC9
HER2+,CURTIS_H001656,CPSF1,145618444,145634733,8q24,IC9
HER2+,CURTIS_H001656,MAL2,120177273,120257913,8q24,IC9
HER2+,CURTIS_H001656,SQLE,126010739,126034525,8q24,IC9
HER2+,CURTIS_H001656,ZNF250,146101882,146127553,8q24,IC9
HER2+,CURTIS_H001656,RAD9A,67085342,67165881,11q13,IC2
HER2+,CURTIS_H001656,MRPL13,121393000,121457642,8q24,IC9
HER2+,CURTIS_H001656,APPBP2,58520510,58603580,17q23,IC1
HER2+,CURTIS_H001656,FAM91A1,124780696,124827692,8q24,IC9
HER2+,CURTIS_H001656,ATAD2,124332090,124428590,8q24,IC9
HER2+,CURTIS_H001656,MAF1,145159402,145162514,8q24,IC9
HER2+,CURTIS_H001656,TRAPPC9,140739968,141468678,8q24,IC9
HER2+,CURTIS_H001656,DQ894708,118532952,118552501,8q24,IC9
HER2+,CURTIS_H001656,C8orf76,124232197,124253638,8q24,IC9
HER2+,CURTIS_H001656,USP32,58256455,58499831,17q23,IC1
HER2+,CURTIS_H001656,UTP23,117778742,117861702,8q24,IC9
HER2+,CURTIS_H001656,MTL5,68474908,68519032,11q13,IC2
HER2+,CURTIS_H001656,ZNF7,146052849,146072894,8q24,IC9
HER2+,CURTIS_H001656,MTBP,121457640,121554373,8q24,IC9
HER2+,CURTIS_H001656,RAD21,117858174,117887105,8q24,IC9
HER2+,CURTIS_H001656,SSH3,67070919,67080078,11q13,IC2
HER2+,CURTIS_H001656,ZNF34,145998499,146012730,8q24,IC9
HER2+,CURTIS_H001656,ST3GAL1,134467091,134584183,8q24,IC9
HER2+,CURTIS_H001656,MYC,128747680,128753680,8q24,IC9
HER2+,CURTIS_H001651,EIF2C2,141530255,141645718,8q24,IC9
HER2+,CURTIS_H001651,TAF2,120743015,120845103,8q24,IC9
HER2+,CURTIS_H001651,C8orf55,143808621,143818345,8q24,IC9
HER2+,CURTIS_H001651,EEF1D,144661867,144681711,8q24,IC9
HER2+,CURTIS_H001651,DGAT1,145538247,145550573,8q24,IC9
HER2+,CURTIS_H001651,DSCC1,120846216,120868250,8q24,IC9
HER2+,CURTIS_H001651,ZC3H3,144519825,144623623,8q24,IC9
HER2+,CURTIS_H001651,HSF1,145515273,145538385,8q24,IC9
HER2+,CURTIS_H001651,ADCK5,145596790,145618457,8q24,IC9
HER2+,CURTIS_H001651,LRRC14,145743376,145750562,8q24,IC9
HER2+,CURTIS_H001651,ZNF16,146155744,146176274,8q24,IC9
HER2+,CURTIS_H001651,RPL8,146015150,146017972,8q24,IC9
HER2+,CURTIS_H001651,COMMD5,146066427,146079121,8q24,IC9
HER2+,CURTIS_H001651,ZNF251,145946292,145981802,8q24,IC9
HER2+,CURTIS_H001651,WDYHV1,124428965,124482268,8q24,IC9
HER2+,CURTIS_H001651,EFR3A,132916335,133025889,8q24,IC9
HER2+,CURTIS_H001651,NSMCE2,126103921,126379362,8q24,IC9
HER2+,CURTIS_H001651,SHARPIN,145153536,145163027,8q24,IC9
HER2+,CURTIS_H001651,CYHR1,145674965,145691060,8q24,IC9
HER2+,CURTIS_H001651,ZNF707,144766622,144796068,8q24,IC9
HER2+,CURTIS_H001651,GLI4,144349603,144359101,8q24,IC9
HER2+,CURTIS_H001651,PHF20L1,133787604,133861052,8q24,IC9
HER2+,CURTIS_H001651,DERL1,124025404,124054663,8q24,IC9
HER2+,CURTIS_H001651,FAM84B,127564687,127570638,8q24,IC9
HER2+,CURTIS_H001651,TOP1MT,144386554,144442149,8q24,IC9
HER2+,CURTIS_H001651,KIAA1688,145754563,145831201,8q24,IC9
HER2+,CURTIS_H001651,VPS28,145648984,145653946,8q24,IC9
HER2+,CURTIS_H001651,PPP1R16A,145703352,145727504,8q24,IC9
HER2+,CURTIS_H001651,SCRIB,144873090,144897549,8q24,IC9
HER2+,CURTIS_H001651,PTK2,141667999,142012315,8q24,IC9
HER2+,CURTIS_H001651,EXOSC4,145133529,145135550,8q24,IC9
HER2+,CURTIS_H001651,FAM83H,144806103,144815971,8q24,IC9
HER2+,CURTIS_H001651,WDR67,124054208,124164393,8q24,IC9
HER2+,CURTIS_H001651,BOP1,145486055,145515082,8q24,IC9
HER2+,CURTIS_H001651,CPSF1,145618444,145634733,8q24,IC9
HER2+,CURTIS_H001651,MAL2,120177273,120257913,8q24,IC9
HER2+,CURTIS_H001651,SQLE,126010739,126034525,8q24,IC9
HER2+,CURTIS_H001651,ZNF250,146101882,146127553,8q24,IC9
HER2+,CURTIS_H001651,MRPL13,121393000,121457642,8q24,IC9
HER2+,CURTIS_H001651,FAM91A1,124780696,124827692,8q24,IC9
HER2+,CURTIS_H001651,ATAD2,124332090,124428590,8q24,IC9
HER2+,CURTIS_H001651,TRAPPC9,140739968,141468678,8q24,IC9
HER2+,CURTIS_H001651,DQ894708,118532952,118552501,8q24,IC9
HER2+,CURTIS_H001651,C8orf76,124232197,124253638,8q24,IC9
HER2+,CURTIS_H001651,UTP23,117778742,117861702,8q24,IC9
HER2+,CURTIS_H001651,ZNF7,146052849,146072894,8q24,IC9
HER2+,CURTIS_H001651,MTBP,121457640,121554373,8q24,IC9
HER2+,CURTIS_H001651,RAD21,117858174,117887105,8q24,IC9
HER2+,CURTIS_H001651,ZNF34,145998499,146012730,8q24,IC9
HER2+,CURTIS_H001651,ST3GAL1,134467091,134584183,8q24,IC9
HER2+,CURTIS_H001651,MYC,128747680,128753680,8q24,IC9
HER2+,CURTIS_H001637,TAF2,120743015,120845103,8q24,IC9
HER2+,CURTIS_H001637,HEATR6,58120555,58156292,17q23,IC1
HER2+,CURTIS_H001637,DSCC1,120846216,120868250,8q24,IC9
HER2+,CURTIS_H001637,TUBD1,57936843,57970306,17q23,IC1
HER2+,CURTIS_H001637,CCDC44,61678231,61685725,17q23,IC1
HER2+,CURTIS_H001637,CA4,58227297,58248260,17q23,IC1
HER2+,CURTIS_H001637,WDYHV1,124428965,124482268,8q24,IC9
HER2+,CURTIS_H001637,EFR3A,132916335,133025889,8q24,IC9
HER2+,CURTIS_H001637,NSMCE2,126103921,126379362,8q24,IC9
HER2+,CURTIS_H001637,WDR68,61627822,61671628,17q23,IC1
HER2+,CURTIS_H001637,PHF20L1,133787604,133861052,8q24,IC9
HER2+,CURTIS_H001637,DERL1,124025404,124054663,8q24,IC9
HER2+,CURTIS_H001637,FAM84B,127564687,127570638,8q24,IC9
HER2+,CURTIS_H001637,RNFT1,58029601,58042122,17q23,IC1
HER2+,CURTIS_H001637,WDR67,124054208,124164393,8q24,IC9
HER2+,CURTIS_H001637,RPS6KB1,57970407,58027925,17q23,IC1
HER2+,CURTIS_H001637,MAL2,120177273,120257913,8q24,IC9
HER2+,CURTIS_H001637,SQLE,126010739,126034525,8q24,IC9
HER2+,CURTIS_H001637,MRPL13,121393000,121457642,8q24,IC9
HER2+,CURTIS_H001637,APPBP2,58520510,58603580,17q23,IC1
HER2+,CURTIS_H001637,FAM91A1,124780696,124827692,8q24,IC9
