rho	p	nmf_lf	feature	fdr	stage	code
-0.116561874078015	0.00365586660483491	LF3	pyrgo	0.00503430811157594	primary	3. HER2+/ER+ High -enriched
0.159983340911798	6.29915409632906e-05	LF1	rigma	0.000110235196685759	primary	1. TNBC -enriched
-0.126761269709437	0.0015629857407901	LF2	rigma	0.00218818003710613	primary	2. ER+ Typical -enriched
-0.0479159856828967	0.233506351878826	LF3	rigma	0.261527114104285	primary	3. HER2+/ER+ High -enriched
0.446802105298646	9.33023311553076e-32	LF1	tic	7.12490528822349e-31	primary	1. TNBC -enriched
-0.332853727976396	1.6621254274858e-17	LF2	tic	8.21285505345922e-17	primary	2. ER+ Typical -enriched
-0.203563660040181	3.18620048524341e-07	LF3	tic	7.4344677989013e-07	primary	3. HER2+/ER+ High -enriched
-0.00509372668011195	0.899274692195428	LF1	tyfonas	0.899274692195428	primary	1. TNBC -enriched
-0.195788709077421	8.97449241001982e-07	LF2	tyfonas	1.83867649376016e-06	primary	2. ER+ Typical -enriched
0.282197063940512	8.15849557340716e-13	LF3	tyfonas	2.63582164679308e-12	primary	3. HER2+/ER+ High -enriched
0.497634236503965	4.90757072455724e-41	LF1	hrd_loh	5.1529492607851e-40	primary	1. TNBC -enriched
-0.408919266220193	5.42942192280326e-27	LF2	hrd_loh	3.50824185781134e-26	primary	2. ER+ Typical -enriched
-0.0848267364893614	0.0325810752912193	LF3	hrd_loh	0.0414668230979154	primary	3. HER2+/ER+ High -enriched
0.72978913236508	1.00430201612622e-116	LF1	genome_doubled	4.21806846773014e-115	primary	1. TNBC -enriched
-0.603150968500261	3.5375727867192e-70	LF2	genome_doubled	7.42890285211033e-69	primary	2. ER+ Typical -enriched
-0.268974833446649	5.3264921061107e-13	LF3	genome_doubled	1.78970134765319e-12	primary	3. HER2+/ER+ High -enriched
0.737721161915716	1.57264236422449e-120	LF1	fraction_cna	1.32101958594857e-118	primary	1. TNBC -enriched
-0.654480478335172	2.45447493535654e-86	LF2	fraction_cna	6.87252981899831e-85	primary	2. ER+ Typical -enriched
-0.183655367235502	1.07165638803715e-06	LF3	fraction_cna	2.1433127760743e-06	primary	3. HER2+/ER+ High -enriched
0.443727942464562	1.18882411878256e-34	LF1	SVB	9.98612259777353e-34	primary	1. TNBC -enriched
-0.490759758082621	4.20539489563422e-43	LF2	SVB	5.04647387476107e-42	primary	2. ER+ Typical -enriched
0.0894289287828235	0.0187958244534722	LF3	SVB	0.0246695195951823	primary	3. HER2+/ER+ High -enriched
-0.00728410519196316	0.847987647083296	LF1	AA_ecdna	0.87939459697527	primary	1. TNBC -enriched
-0.285512151132854	1.67158510868091e-14	LF2	AA_ecdna	7.02065745645981e-14	primary	2. ER+ Typical -enriched
0.420795942985169	3.37188391926158e-31	LF3	AA_ecdna	2.3603187434831e-30	primary	3. HER2+/ER+ High -enriched
0.0484506717387374	0.202044609162728	LF1	AA_complex	0.229347934725259	primary	1. TNBC -enriched
-0.143668659680282	0.000144444861935041	LF2	AA_complex	0.00023889236080458	primary	2. ER+ Typical -enriched
0.200260893171808	1.01527518864375e-07	LF3	AA_complex	2.43666045274499e-07	primary	3. HER2+/ER+ High -enriched
-0.337620577318348	5.12335292790809e-20	LF1	SBS1	2.68976028715175e-19	primary	1. TNBC -enriched
0.166053751154764	1.06502781075986e-05	LF2	SBS1	1.98805191341841e-05	primary	2. ER+ Typical -enriched
0.230059268253788	8.19886388344403e-10	LF3	SBS1	2.45965916503321e-09	primary	3. HER2+/ER+ High -enriched
0.190620310235829	4.05417588806745e-07	LF1	SBS13	8.96186248941227e-07	primary	1. TNBC -enriched
-0.185436503786275	8.38682734781639e-07	LF2	SBS13	1.76123374304144e-06	primary	2. ER+ Typical -enriched
0.0573235004986123	0.13083381196422	LF3	SBS13	0.15263944729159	primary	3. HER2+/ER+ High -enriched
-0.179832205776276	1.79930298139162e-06	LF1	SBS18	3.51491745202084e-06	primary	1. TNBC -enriched
0.0746189559115242	0.0490923488684244	LF2	SBS18	0.061548616491756	primary	2. ER+ Typical -enriched
0.149548527543758	7.47733789325127e-05	LF3	SBS18	0.000128182935312879	primary	3. HER2+/ER+ High -enriched
-0.0648322553407711	0.0874293956946616	LF1	SBS2	0.106435786063066	primary	1. TNBC -enriched
-0.0300731292193148	0.428280955047109	LF2	SBS2	0.473363160841542	primary	2. ER+ Typical -enriched
0.204650084503368	5.12010126880576e-08	LF3	SBS2	1.30329850478692e-07	primary	3. HER2+/ER+ High -enriched
0.186264385154945	7.47765895180561e-07	LF1	SBS3	1.61057269731198e-06	primary	1. TNBC -enriched
-0.132939309189034	0.000437284591330187	LF2	SBS3	0.000667852830395195	primary	2. ER+ Typical -enriched
-0.0850309527320883	0.0248773210225467	LF3	SBS3	0.032149153321445	primary	3. HER2+/ER+ High -enriched
0.444135311076707	5.23956335460051e-35	LF1	SBS39	4.89025913096047e-34	primary	1. TNBC -enriched
-0.239628082417616	1.5136628758534e-10	LF2	SBS39	4.70917339154391e-10	primary	2. ER+ Typical -enriched
-0.28173360244309	3.64097922412955e-14	LF3	SBS39	1.32974893402992e-13	primary	3. HER2+/ER+ High -enriched
0.122411653241065	0.00121296762756381	LF1	SBS40	0.00172693696127729	primary	1. TNBC -enriched
-0.132571717605743	0.000453726182968459	LF2	SBS40	0.000680589274452688	primary	2. ER+ Typical -enriched
-0.00556311063434146	0.88352490000523	LF3	SBS40	0.894169778318546	primary	3. HER2+/ER+ High -enriched
-0.284687013705489	1.9175761016891e-14	LF1	SBS5	7.67030440675642e-14	primary	1. TNBC -enriched
0.271230269449394	3.34875429452504e-13	LF2	SBS5	1.17206400308376e-12	primary	2. ER+ Typical -enriched
0.00605680938075309	0.873271922896503	LF3	SBS5	0.894169778318546	primary	3. HER2+/ER+ High -enriched
0.283300176150798	2.59373040658388e-14	LF1	SBS8	9.90333427968389e-14	primary	1. TNBC -enriched
-0.172335018824971	4.81728505550969e-06	LF2	SBS8	9.19663510597305e-06	primary	2. ER+ Typical -enriched
-0.139334596856695	0.000226652514163409	LF3	SBS8	0.000359222852636347	primary	3. HER2+/ER+ High -enriched
0.108082658812077	0.00445023836520563	LF1	bfb	0.00890047673041127	metastatic	1. TNBC -enriched
-0.173982222139898	4.21885575138433e-06	LF2	bfb	1.47659951298452e-05	metastatic	2. ER+ Typical -enriched
0.131932010999036	0.000507035993975094	LF3	bfb	0.00137390398367445	metastatic	3. HER2+/ER+ High -enriched
0.101017803148775	0.00787375962966777	LF1	chromoplexy	0.0146976846420465	metastatic	1. TNBC -enriched
-0.179896939925621	1.94315744641244e-06	LF2	chromoplexy	7.4193284317566e-06	metastatic	2. ER+ Typical -enriched
0.157357771238878	3.25476435267034e-05	LF3	chromoplexy	0.000105153925240119	metastatic	3. HER2+/ER+ High -enriched
0.109969028777135	0.00380015392828197	LF1	chromothripsis	0.00808612512031853	metastatic	1. TNBC -enriched
-0.109812769240976	0.00385053577158025	LF2	chromothripsis	0.00808612512031853	metastatic	2. ER+ Typical -enriched
0.042130480266504	0.268741737135296	LF3	chromothripsis	0.327163853903839	metastatic	3. HER2+/ER+ High -enriched
0.396271203186384	2.10615636659272e-27	LF1	del	2.21146418492236e-26	metastatic	1. TNBC -enriched
-0.356818768531535	3.55334291527691e-22	LF2	del	2.9848080488326e-21	metastatic	2. ER+ Typical -enriched
0.0246606615300986	0.517517654437504	LF3	del	0.579619772970004	metastatic	3. HER2+/ER+ High -enriched
0.159846743018888	2.42749731031201e-05	LF1	dm	8.15639096264837e-05	metastatic	1. TNBC -enriched
-0.311629900294554	5.00090357904948e-17	LF2	dm	3.81887182400142e-16	metastatic	2. ER+ Typical -enriched
0.258304127326631	5.38407305080564e-12	LF3	dm	3.01508090845116e-11	metastatic	3. HER2+/ER+ High -enriched
0.259313506944638	4.42285377980883e-12	LF1	dup	2.6537122678853e-11	metastatic	1. TNBC -enriched
-0.223410424635751	2.89694020100876e-09	LF2	dup	1.35190542713742e-08	metastatic	2. ER+ Typical -enriched
0.0145811781532443	0.702001494991557	LF3	dup	0.746431969358111	metastatic	3. HER2+/ER+ High -enriched
0.0799424084987842	0.0356413842281918	LF1	inv	0.0564882316069456	metastatic	1. TNBC -enriched
-0.0719695454323164	0.0586400879501173	LF2	inv	0.0843958969711219	metastatic	2. ER+ Typical -enriched
-0.000685817614684476	0.985642549150279	LF3	inv	0.985642549150279	metastatic	3. HER2+/ER+ High -enriched
0.105694878403042	0.00541663698576554	LF1	invdup	0.0103408524273706	metastatic	1. TNBC -enriched
-0.091843478783319	0.0157346309399785	LF2	invdup	0.0269736530399631	metastatic	2. ER+ Typical -enriched
0.0076916733473603	0.840051965200345	LF3	invdup	0.860541037522305	metastatic	3. HER2+/ER+ High -enriched
0.0948005676463987	0.0126627385716123	LF1	pyrgo	0.0225588702133833	metastatic	1. TNBC -enriched
-0.0863783414491404	0.0231620253576111	LF2	pyrgo	0.0381492182360654	metastatic	2. ER+ Typical -enriched
-0.00949895990301779	0.803166199816079	LF3	pyrgo	0.832913096105563	metastatic	3. HER2+/ER+ High -enriched
0.181356689411797	1.59845178373197e-06	LF1	rigma	6.39380713492789e-06	metastatic	1. TNBC -enriched
-0.182633093104129	1.34581270154065e-06	LF2	rigma	5.65241334647071e-06	metastatic	2. ER+ Typical -enriched
0.0484574995183988	0.203288682212192	LF3	rigma	0.26271152778191	metastatic	3. HER2+/ER+ High -enriched
0.234815627574111	4.13161572444591e-10	LF1	tic	2.04150424031445e-09	metastatic	1. TNBC -enriched
-0.241038869068949	1.3665564212748e-10	LF2	tic	7.1744212116927e-10	metastatic	2. ER+ Typical -enriched
0.0697495032165333	0.0668904579385713	LF3	tic	0.0936466411139999	metastatic	3. HER2+/ER+ High -enriched
0.015981378501503	0.674948113634231	LF1	tyfonas	0.726867199298402	metastatic	1. TNBC -enriched
-0.0533741448152043	0.161065025293215	LF2	tyfonas	0.21475336705762	metastatic	2. ER+ Typical -enriched
0.105995150592319	0.00528550993872266	LF3	tyfonas	0.0103251822058768	metastatic	3. HER2+/ER+ High -enriched
-0.122139372066072	0.00113766039888776	LF1	hrd_loh	0.00298635854708036	metastatic	1. TNBC -enriched
-0.0781473546590914	0.0377648592323702	LF2	hrd_loh	0.0587453365836869	metastatic	2. ER+ Typical -enriched
0.268689956294512	3.71091826101636e-13	LF3	hrd_loh	2.39782410711827e-12	metastatic	3. HER2+/ER+ High -enriched
0.685268401762963	1.94965923833392e-99	LF1	genome_doubled	5.45904586733497e-98	metastatic	1. TNBC -enriched
-0.908214317663199	1.15185448115057e-269	LF2	genome_doubled	9.6755776416648e-268	metastatic	2. ER+ Typical -enriched
0.46915835462067	4.33999729972969e-40	LF3	genome_doubled	6.07599621962157e-39	metastatic	3. HER2+/ER+ High -enriched
0.544306335275025	6.28012505133477e-56	LF1	fraction_cna	1.3188262607803e-54	metastatic	1. TNBC -enriched
-0.827802344428456	1.22033593301646e-179	LF2	fraction_cna	5.12541091866914e-178	metastatic	2. ER+ Typical -enriched
0.478639175337623	7.07529250732302e-42	LF3	fraction_cna	1.18864914123027e-40	metastatic	3. HER2+/ER+ High -enriched
0.379694943259036	9.84863248422775e-26	LF1	SVB	9.19205698527924e-25	metastatic	1. TNBC -enriched
-0.397203385479462	3.26972648830037e-28	LF2	SVB	3.92367178596045e-27	metastatic	2. ER+ Typical -enriched
0.145100325295813	0.000105615806447746	LF3	SVB	0.000316847419343239	metastatic	3. HER2+/ER+ High -enriched
0.0724581271537181	0.0539656393790111	LF1	AA_ecdna	0.0809484590685166	metastatic	1. TNBC -enriched
-0.119457832130139	0.00145074931882303	LF2	AA_ecdna	0.00348179836517527	metastatic	2. ER+ Typical -enriched
0.113694789387669	0.00244792462469887	LF3	AA_ecdna	0.00555745049931635	metastatic	3. HER2+/ER+ High -enriched
0.0768798792906209	0.0408495975891854	LF1	AA_complex	0.0623884763180286	metastatic	1. TNBC -enriched
-0.0946901763623837	0.0117103123683675	LF2	AA_complex	0.0213840486726712	metastatic	2. ER+ Typical -enriched
0.0548187319204239	0.145074969933192	LF3	AA_complex	0.199775368432592	metastatic	3. HER2+/ER+ High -enriched
-0.0933533992527928	0.0128907829790761	LF1	SBS1	0.0225588702133833	metastatic	1. TNBC -enriched
0.0444477619106355	0.237202181213294	LF2	SBS1	0.301893685180556	metastatic	2. ER+ Typical -enriched
0.0527800915429937	0.160355419343179	LF3	SBS1	0.21475336705762	metastatic	3. HER2+/ER+ High -enriched
0.0301440174758585	0.422893026209086	LF1	SBS13	0.486616632898126	metastatic	1. TNBC -enriched
-0.0399190474017718	0.288474435686271	LF2	SBS13	0.341293698558405	metastatic	2. ER+ Typical -enriched
0.0258453018103262	0.492029333742881	LF3	SBS13	0.558519784248676	metastatic	3. HER2+/ER+ High -enriched
-0.0793781645954121	0.0345825780978605	LF1	SBS18	0.0558641646196208	metastatic	1. TNBC -enriched
-0.0323724353073478	0.389410333369229	LF2	SBS18	0.454312055597434	metastatic	2. ER+ Typical -enriched
0.147658828371058	7.93236847903095e-05	LF3	SBS18	0.000246784797125407	metastatic	3. HER2+/ER+ High -enriched
-0.0883487345530208	0.0186267359025428	LF1	SBS2	0.0312929163162719	metastatic	1. TNBC -enriched
0.0520268871833479	0.1664149141624	LF2	SBS2	0.218419574838151	metastatic	2. ER+ Typical -enriched
0.041638045023488	0.268197785209473	LF3	SBS2	0.327163853903839	metastatic	3. HER2+/ER+ High -enriched
0.173208703051204	3.50086807405003e-06	LF1	SBS3	1.27857790530523e-05	metastatic	1. TNBC -enriched
-0.121626622749278	0.00117492551912228	LF2	SBS3	0.00299071950322035	metastatic	2. ER+ Typical -enriched
-0.0410713672704954	0.274771256912654	LF3	SBS3	0.329725508295184	metastatic	3. HER2+/ER+ High -enriched
0.276841468273156	6.1125766038603e-14	LF1	SBS39	4.27880362270221e-13	metastatic	1. TNBC -enriched
-0.211910602865145	1.21628784473524e-08	LF2	SBS39	5.37727257672422e-08	metastatic	2. ER+ Typical -enriched
-0.0426634796097583	0.256578624061801	LF3	SBS39	0.321680663002854	metastatic	3. HER2+/ER+ High -enriched
0.0158300511037401	0.673908252200728	LF1	SBS40	0.726867199298402	metastatic	1. TNBC -enriched
-0.0708708864987691	0.0592780704916214	LF2	SBS40	0.0843958969711219	metastatic	2. ER+ Typical -enriched
0.116863716973718	0.00182743750435677	LF3	SBS40	0.00426402084349912	metastatic	3. HER2+/ER+ High -enriched
-0.144340801475978	0.000114879669158891	LF1	SBS5	0.000332754903770579	metastatic	1. TNBC -enriched
0.119625542196134	0.00141721799028545	LF2	SBS5	0.00348179836517527	metastatic	2. ER+ Typical -enriched
-0.00428260286225163	0.909370645825594	LF3	SBS5	0.920326918666866	metastatic	3. HER2+/ER+ High -enriched
0.140059986440898	0.000183099575393938	LF1	SBS8	0.000512678811103027	metastatic	1. TNBC -enriched
-0.108891738986619	0.0036962244616102	LF2	SBS8	0.00808612512031853	metastatic	2. ER+ Typical -enriched
-0.0110086245633274	0.769813473346019	LF3	SBS8	0.80830414701332	metastatic	3. HER2+/ER+ High -enriched
