term	model	estimate	std.error	conf.low	conf.high	p.value	Function	dataset	axis
ER+ Typical	Arc1	0.0395043417499514	0.0152839854918064	0.00949698295101047	0.0695117005488924	0.00994566763484402	lm()	Metastatic	1
ER+ Typical	Arc2	0.0375590681272435	0.019785129677156	-0.00128547837041391	0.0764036146249009	0.0580566062276995	lm()	Metastatic	2
ER+ Typical	Arc3	-0.077063409877195	0.0169358951385509	-0.110313996399681	-0.0438128233547086	6.30311197681754e-06	lm()	Metastatic	3
ER+ Typical	LF1	0.0135599066929474	0.0408926487763309	-0.0667254602833729	0.0938452736692677	0.74029121633499	lm()	Metastatic	1
ER+ Typical	LF2	0.0429165154912248	0.0457068674286763	-0.0468207046365479	0.132653735618998	0.348076037666459	lm()	Metastatic	2
ER+ Typical	LF3	-0.0925182904656213	0.0576637807059501	-0.205730761013602	0.0206941800823589	0.109062232177872	lm()	Metastatic	3
HER2+	Arc1	0.0030123762569751	0.0261882580575158	-0.0484035620970893	0.0544283146110395	0.908455745310021	lm()	Metastatic	1
HER2+	Arc2	-0.157590046695246	0.0339007179746765	-0.224148014075755	-0.091032079314737	3.98707559094879e-06	lm()	Metastatic	2
HER2+	Arc3	0.154577670438271	0.0290187132512763	0.097604641977766	0.211550698898776	1.34411049707375e-07	lm()	Metastatic	3
HER2+	LF1	0.157014599513536	0.0700672765872496	0.0194500938585561	0.294579105168515	0.0253410093689184	lm()	Metastatic	1
HER2+	LF2	-0.352381191567117	0.0783161721701796	-0.506140921274402	-0.198621461859833	7.96142200597175e-06	lm()	Metastatic	2
HER2+	LF3	0.318396671174341	0.0988036772547956	0.124413407082077	0.512379935266605	0.00132890857176411	lm()	Metastatic	3
IC10	Arc1	0.281336759433327	0.0234669877893675	0.235263546206095	0.327409972660559	2.79010411828084e-30	lm()	Metastatic	1
IC10	Arc2	-0.194879752068266	0.030378031750539	-0.25452155811635	-0.135237946020182	2.57310564572377e-10	lm()	Metastatic	2
IC10	Arc3	-0.0864570073650607	0.0260033251556959	-0.137509863201047	-0.0354041515290747	0.000930274222362002	lm()	Metastatic	3
IC10	LF1	0.490122866046034	0.0627864564529648	0.366852942274631	0.613392789817436	2.12309512117223e-14	lm()	Metastatic	1
IC10	LF2	-0.442252367789066	0.0701781940590036	-0.580034639966644	-0.304470095611488	5.16917644503954e-10	lm()	Metastatic	2
IC10	LF3	-0.08228854610949	0.0885368046469769	-0.256114650915585	0.091537558696605	0.3529843223529	lm()	Metastatic	3
IC4ER-	Arc1	0.160008121065205	0.0420336485869689	0.0774826060119518	0.242533636118458	0.000153049993368468	lm()	Metastatic	1
IC4ER-	Arc2	-0.127122562881272	0.0544125868572055	-0.233951898585498	-0.0202932271770466	0.0197552300332291	lm()	Metastatic	2
IC4ER-	Arc3	-0.0328855581839325	0.0465766906898224	-0.124330519967366	0.0585594035995012	0.480388160277812	lm()	Metastatic	3
IC4ER-	LF1	0.354388647065273	0.112461977235983	0.13358976551912	0.575187528611425	0.00169460087868046	lm()	Metastatic	1
IC4ER-	LF2	-0.254887824363395	0.125701925360901	-0.501680964676462	-0.00809468405032765	0.0429632638626783	lm()	Metastatic	2
IC4ER-	LF3	-0.16567089042424	0.158585540119056	-0.477025098737736	0.145683317889257	0.296528170392502	lm()	Metastatic	3
ER+ High	Arc1	0.247674859832213	0.00883630834942448	0.230341081410162	0.265008638254264	1.10153240181356e-137	lm()	Primary+Metastatic	1
ER+ High	Arc2	0.305156522248244	0.00997948768056766	0.285580221673377	0.324732822823112	7.76973267761209e-158	lm()	Primary+Metastatic	2
ER+ High	Arc3	0.447168617919543	0.0095718211007945	0.428392018066337	0.465945217772748	2.73761669047702e-288	lm()	Primary+Metastatic	3
ER+ High	LF1	0.45842649501678	0.0284610308094539	0.402595803940187	0.514257186093372	1.07546247200498e-53	lm()	Primary+Metastatic	1
ER+ High	LF2	0.600500295805074	0.0309170196056651	0.539851804815089	0.661148786795059	1.26159466028859e-74	lm()	Primary+Metastatic	2
ER+ High	LF3	0.443558088045917	0.0249912436057805	0.394533918446594	0.492582257645239	9.48969123077695e-64	lm()	Primary+Metastatic	3
ER+ Typical	Arc1	-0.0123338586878394	0.0109342038937842	-0.0337829820119168	0.00911526463623794	0.259509540719109	lm()	Primary+Metastatic	1
ER+ Typical	Arc2	0.112250950541857	0.012348794172845	0.0880268907300972	0.136475010353616	3.27947175145144e-19	lm()	Primary+Metastatic	2
ER+ Typical	Arc3	-0.0999170918540171	0.0118443403525783	-0.123151587879761	-0.0766825958282735	8.05766574486478e-17	lm()	Primary+Metastatic	3
ER+ Typical	LF1	-0.128760649716922	0.0352181818007869	-0.197846532149047	-0.0596747672847976	0.000265542171353454	lm()	Primary+Metastatic	1
ER+ Typical	LF2	0.149686782021755	0.0382572656802412	0.0746392689527908	0.224734295090719	9.56586715491458e-05	lm()	Primary+Metastatic	2
ER+ Typical	LF3	-0.040639382505791	0.0309246058805352	-0.101302755141193	0.0200239901296105	0.18901228559756	lm()	Primary+Metastatic	3
HER2+	Arc1	-0.00557691307283163	0.0171069457591321	-0.039134819331971	0.0279809931863078	0.744470746596141	lm()	Primary+Metastatic	1
HER2+	Arc2	-0.0904855827391962	0.0193201218998336	-0.128384974527684	-0.0525861909507081	3.09318121829805e-06	lm()	Primary+Metastatic	2
HER2+	Arc3	0.0960624958120278	0.0185308861927699	0.0597113112983462	0.132413680325709	2.48986643137626e-07	lm()	Primary+Metastatic	3
HER2+	LF1	0.0611602973970643	0.0551000815106261	-0.0469269904355676	0.169247585229696	0.267195164575401	lm()	Primary+Metastatic	1
HER2+	LF2	-0.259117713070404	0.0598548349054144	-0.37653218127493	-0.141703244865878	1.60325017656911e-05	lm()	Primary+Metastatic	2
HER2+	LF3	0.172524724608728	0.0483826312880073	0.0776147489652541	0.267434700252202	0.000374858534147686	lm()	Primary+Metastatic	3
IC10	Arc1	0.27188212379404	0.0142506326520665	0.243927315179756	0.299836932408325	2.42762891213452e-72	lm()	Primary+Metastatic	1
IC10	Arc2	-0.048332534571744	0.0160942791228937	-0.0799039394104001	-0.016761129733088	0.00271978654917124	lm()	Primary+Metastatic	2
IC10	Arc3	-0.223549589222296	0.0154368205504741	-0.253831287911581	-0.193267890533012	2.10980716469372e-44	lm()	Primary+Metastatic	3
IC10	LF1	0.385293946109381	0.0459001292084937	0.295253780263951	0.47533411195481	1.13027399500093e-16	lm()	Primary+Metastatic	1
IC10	LF2	-0.473035526410751	0.0498609907751543	-0.570845531655389	-0.375225521166113	9.76607603501489e-21	lm()	Primary+Metastatic	2
IC10	LF3	0.0783087679058015	0.0403042784453625	-0.000754275664656717	0.15737181147626	0.0522230199122819	lm()	Primary+Metastatic	3
IC4ER-	Arc1	0.141494602301268	0.0232367260669844	0.0959121888123547	0.187077015790181	1.46127253740061e-09	lm()	Primary+Metastatic	1
IC4ER-	Arc2	0.0287345909170245	0.0262429300056397	-0.022744954145793	0.0802141359798419	0.273727964750007	lm()	Primary+Metastatic	2
IC4ER-	Arc3	-0.170229193218292	0.0251708944602221	-0.219605775610501	-0.120852610826084	1.97772557709453e-11	lm()	Primary+Metastatic	3
IC4ER-	LF1	0.140763087371022	0.0748436055365087	-0.00605416066692274	0.287580335408967	0.0602108369976987	lm()	Primary+Metastatic	1
IC4ER-	LF2	-0.228761263600087	0.0813020875885594	-0.388247817914598	-0.0692747092855754	0.00496542843151804	lm()	Primary+Metastatic	2
IC4ER-	LF3	0.0541843624469274	0.0657191508916302	-0.074733863874932	0.183102588768787	0.409804773141153	lm()	Primary+Metastatic	3
