varexpl	t_ratio	total_var	k	nb.PCs	nb.archetypes	dataset
0.391815058503248	NA	0.322211589549304	2	3	2	Metastatic
0.679902108486004	0.252216189437381	2.48023187766683	3	3	3	Metastatic
0.956096560923603	0.288416303733407	0.741300505662489	4	3	4	Metastatic
0.978280258498476	NA	0.764063379138774	5	3	5	Metastatic
0.985365142774099	NA	1.06994622751336	6	3	6	Metastatic
0.274273543457002	NA	7.14908764722578	2	4	2	Metastatic
0.557032678808884	0.16043546381452	5.34824734493613	3	4	3	Metastatic
0.776948628340354	0.206332697203074	4.3396869944998	4	4	4	Metastatic
0.936987392727027	0.157050503356753	1.54518363200978	5	4	5	Metastatic
0.963374655369429	NA	1.43671872534305	6	4	6	Metastatic
0.239767344119416	NA	7.298528846066	2	5	2	Metastatic
0.473481118088968	0.175891766902481	5.20156717529339	3	5	3	Metastatic
0.670118628790386	0.210146517082447	4.07094109187531	4	5	4	Metastatic
0.807389925888	0.144148782119941	1.94003994053386	5	5	5	Metastatic
0.934314565892409	0.102318306532564	1.30635978768318	6	5	6	Metastatic
0.200619539197246	NA	5.69280307941225	2	6	2	Metastatic
0.413135641778915	0.185498035616606	4.70571919294561	3	6	3	Metastatic
0.584801216291798	0.207255209695751	3.57156600696749	4	6	4	Metastatic
0.71486301834632	0.115932251429774	2.68407791554514	5	6	5	Metastatic
0.826212407104365	0.0786605003409674	1.56871473584385	6	6	6	Metastatic
0.178627791528254	NA	4.93638237756745	2	7	2	Metastatic
0.369859130956616	0.187705953475471	4.25742545475982	3	7	3	Metastatic
0.521574324924165	0.201589678148042	3.16687365709216	4	7	4	Metastatic
0.640102522514551	0.0998655476351651	2.74336151016523	5	7	5	Metastatic
0.743220155115885	0.051240673506308	2.34316693843906	6	7	6	Metastatic
0.176335494583033	NA	4.74790291479894	2	8	2	Metastatic
0.332625327857306	0.143946941050151	3.82103221474247	3	8	3	Metastatic
0.469791483033967	0.184852320007386	2.85525660496259	4	8	4	Metastatic
0.576662033360788	0.0803087854518324	2.58583940769725	5	8	5	Metastatic
0.671553687146889	0.0438936172722235	2.32815639854276	6	8	6	Metastatic
0.166022653698338	NA	3.32108777888786	2	9	2	Metastatic
0.304678974741429	0.156438339373889	3.52542960675759	3	9	3	Metastatic
0.428540704887638	0.167919830179232	2.72351042878901	4	9	4	Metastatic
0.528792367270447	0.0790049468476187	2.37454726438605	5	9	5	Metastatic
0.616472876583117	0.0294722617518737	2.20197761179507	6	9	6	Metastatic
0.153426006052197	NA	3.00185542711091	2	10	2	Metastatic
0.280961608900531	0.152119265502169	3.25465288115296	3	10	3	Metastatic
0.395846406492725	0.165523723714391	2.48908634040535	4	10	4	Metastatic
0.488637851053206	0.0717270610010157	2.22828540470734	5	10	5	Metastatic
0.570430119773968	0.0285191459976006	2.04008612290531	6	10	6	Metastatic
0.54151003644923	NA	0.0234907670342382	2	2	2	Primary+Metastatic
0.997994465929447	0.725551771522071	0.0148493435116153	3	2	3	Primary+Metastatic
0.998975065123556	NA	1.04182749440669	4	2	4	Primary+Metastatic
0.999727567315425	NA	1.16842120591955	5	2	5	Primary+Metastatic
0.999808076789711	NA	0.0757444598357861	6	2	6	Primary+Metastatic
0.393792205714041	NA	0.0185869502193777	2	3	2	Primary+Metastatic
0.723358691601806	0.550471517546953	0.011286100256184	3	3	3	Primary+Metastatic
0.973469021964046	0.275188427825593	0.0166933691155989	4	3	4	Primary+Metastatic
0.984455045836344	NA	0.0735262208699388	5	3	5	Primary+Metastatic
0.993998107701451	NA	0.0471651040441587	6	3	6	Primary+Metastatic
0.312897519333248	NA	0.0524511873912266	2	4	2	Primary+Metastatic
0.576660715570964	0.481359872683929	0.00970490809945303	3	4	3	Primary+Metastatic
0.780468258349029	0.243844433869313	0.124590996662652	4	4	4	Primary+Metastatic
0.940460051263344	0.147179799743147	0.0398188975337395	5	4	5	Primary+Metastatic
0.965609113389346	NA	0.0822599250965841	6	4	6	Primary+Metastatic
0.264083324359384	NA	0.0340978622598178	2	5	2	Primary+Metastatic
0.485576484345837	0.423839219531672	0.0225080561814016	3	5	3	Primary+Metastatic
0.653228141282518	0.205890048684871	0.221239872304738	4	5	4	Primary+Metastatic
0.79953358708986	0.108944966973913	0.522507831858954	5	5	5	Primary+Metastatic
0.937383143505972	0.0584444160555515	0.0325235509843583	6	5	6	Primary+Metastatic
0.230926199657672	NA	0.0117585885208921	2	6	2	Primary+Metastatic
0.419570394736838	0.370900364844704	0.302634598127746	3	6	3	Primary+Metastatic
0.562603721182439	0.174976207013881	1.72464120162371	4	6	4	Primary+Metastatic
0.688608017268447	0.0676729561902185	1.21981875986218	5	6	5	Primary+Metastatic
0.802758249975656	0.0291604416136686	0.978418082237897	6	6	6	Primary+Metastatic
0.205830825372337	NA	0.0165977288026514	2	7	2	Primary+Metastatic
0.366954907365674	0.334352996995386	1.12543314184725	3	7	3	Primary+Metastatic
0.498062250418742	0.153644923496344	1.26407970887344	4	7	4	Primary+Metastatic
0.613561437546069	0.0788652162125672	1.97942885338653	5	7	5	Primary+Metastatic
0.71690949108409	0.0287132880206083	1.25462611402204	6	7	6	Primary+Metastatic
0.186045066618034	NA	0.0171213080437886	2	8	2	Primary+Metastatic
0.327927279150626	0.313962829904042	1.25453400743946	3	8	3	Primary+Metastatic
0.449643626555281	0.149360766061495	1.16547569745375	4	8	4	Primary+Metastatic
0.554439698718755	0.0558340673914563	1.4655880791831	5	8	5	Primary+Metastatic
0.649338376322718	0.0251242642264302	1.56797817696595	6	8	6	Primary+Metastatic
0.149292517187519	NA	1.76829673070886	2	9	2	Primary+Metastatic
0.291358790099315	0.260583099623121	3.38900996459814	3	9	3	Primary+Metastatic
0.410095886028388	0.125148761435197	1.68591238384138	4	9	4	Primary+Metastatic
0.507619829473134	0.0374142659545221	1.50957853610881	5	9	5	Primary+Metastatic
0.594666147412257	0.0154666000511058	2.01812911486224	6	9	6	Primary+Metastatic
0.156623710390445	NA	0.0889215485065846	2	10	2	Primary+Metastatic
0.268544188418818	0.258136363037885	3.05300431053943	3	10	3	Primary+Metastatic
0.368167843695096	0.118105548943381	2.36920917673633	4	10	4	Primary+Metastatic
0.46548055042265	0.0730758062169887	2.65986696856061	5	10	5	Primary+Metastatic
0.548732322105592	0.014164430467673	1.21782549896124	6	10	6	Primary+Metastatic
